,count,imdb_keys,movie_titles,average_domroi,domroilist,average_worldroi,worldroilist
nonlinear timeline,3,"['tt1371111', 'tt2543164', 'tt0485947']","['Cloud Atlas', 'Arrival', 'Mr. Nobody']",-0.19829172726212418,"[-0.7342326274509804, 1.1392795531914894, -0.9999221075268816]",0.8678193395642403,"[0.28110935294117645, 3.3218700851063834, -0.9995214193548388]"
mable madea simmons character,3,"['tt2609758', 'tt5325452', 'tt0795461']","[""Tyler Perry's A Madea Christmas"", 'Tyler Perryâ\x80\x99s Boo! A Madea Halloween', 'Scary Movie V']",1.45428022,"[1.10173416, 2.66031715, 0.60078935]",2.2309167866666666,"[1.10173416, 2.66031715, 2.93069905]"
gang,3,"['tt1478964', 'tt1233192', 'tt4158096']","['Attack the Block', 'Brighton Rock', 'Free Fire']",-0.9068025207459206,"[-0.9212173076923076, -0.9791224545454544, -0.8200678]",-0.7009627745920746,"[-0.5031397692307692, -0.9791224545454544, -0.6206261]"
british prime minister,3,"['tt1139328', 'tt4555426', 'tt1007029']","['The Ghost Writer', 'Darkest Hour', 'The Iron Lady']",0.4555882677248677,"[-0.6546322444444445, 0.8814373333333333, 1.1399597142857143]",3.913254056084656,"[0.4562775777777778, 4.026905733333333, 7.256578857142857]"
female warrior',3,"['tt1735898', 'tt1392190', 'tt1951264']","['Snow White and the Huntsman', 'Mad Max: Fury Road', 'The Hunger Games: Catching Fire']",0.7344962638914027,"[-0.08743085294117647, 0.02424236, 2.2666772846153846]",2.8263675703871294,"[1.3589514470588235, 1.4673201333333334, 5.652831130769231]"
projectile vomiting,3,"['tt0970866', 'tt3460252', 'tt1981677']","['Little Fockers', 'The Hateful Eight', 'Pitch Perfect']",1.0602804180898167,"[0.484386, -0.1271384516129032, 2.8235937058823533]",3.105853771650853,"[2.10650574, 1.3849175161290324, 5.8261380588235285]"
barber,3,"['tt0032553', 'tt2822672', 'tt3628584']","['The Dictator', 'Rock Dog', 'Barbershop: The Next Cut']",0.25873579102564104,"[-0.08230427692307693, -0.8429909, 1.70150255]",0.9647354641025642,"[1.7715214923076923, -0.5975252, 1.7202101000000003]"
abuse,3,"['tt1559547', 'tt5580036', 'tt1238834']","['Beautiful Creatures', 'I, Tonya', 'Wuthering Heights']",0.04341704499999995,"[-0.61095724, 1.728594, -0.987385625]",1.1455076051515152,"[0.20565752, 3.8906735454545456, -0.65980825]"
narcissism,3,"['tt1625346', 'tt1126590', 'tt3787590']","['Young Adult', 'Big Eyes', 'We Are Your Friends']",0.5344030611111111,"[0.3592975833333333, 0.4482031, 0.7957085]",2.2347859,"[0.895863, 1.7317871999999999, 4.0767074999999995]"
erection,3,"['tt2004420', 'tt1441395', 'tt6857166']","['Neighbors', 'Under the Skin', 'Book Club']",4.130448460373156,"[7.338155555555558, -0.8034397744360903, 5.8566296]",7.235813502394877,"[14.052468222222226, -0.456396015037594, 8.1113683]"
audition,3,"['tt1647668', 'tt3783958', 'tt1673697']","['Million Dollar Arm', 'La La Land', 'The Sapphires']",2.0951090218518518,"[0.45791836, 6.55509015, -0.7276814444444445]",7.3841300618518515,"[0.56871648, 20.31755815, 1.2661155555555557]"
colombia,3,"['tt3532216', 'tt2515030', 'tt1082807']","['American Made', 'Escobar: Paradise Lost', 'The Belko Experiment']",0.02390705882352943,"[0.02684, -0.9884828235294116, 1.033364]",0.7668081152941176,"[1.71138424, -0.7695482941176469, 1.3585884]"
based on short film,3,"['tt3766394', 'tt2910274', 'tt4266638']","['Hello, My Name is Doris', 'Obvious Child', 'Krisha']",6.465005000000001,"[13.444999, 2.122616, 3.8274]",6.604724333333333,"[13.662703, 2.32407, 3.8274]"
baby',3,"['tt3606756', 'tt0435651', 'tt4587656']","['Incredibles 2', 'The Giver', 'The Star']",1.2963078099999998,"[2.04290872, 0.80361496, 1.04239975]",3.004037418333333,"[5.212603555, 1.6616081999999999, 2.1379005]"
male frontal nudity',3,"['tt1853728', 'tt2401878', 'tt3072636']","['Django Unchained', 'Anomalisa', 'The Past is a Grotesque Animal']",-0.23382496999999994,"[0.62805434, -0.53008925, -0.7994399999999999]",0.8044380766666667,"[3.49948323, -0.286729, -0.7994399999999999]"
survival',3,"['tt0454876', 'tt6306064', 'tt1518812']","['Life of Pi', 'Adrift', ""Meek's Cutoff""]",-0.19037553253968256,"[0.04155851666666667, -0.10157111428571428, -0.5111140000000001]",1.5878120496031745,"[4.174266691666666, 0.6542054571428572, -0.065036]"
loss of brother,3,"['tt1441953', 'tt1151359', 'tt4034228']","['Testament of Youth', 'Leaves of Grass', 'Manchester by the Sea']",0.9337434095860567,"[-0.817775, -0.9922148888888888, 4.611220117647059]",2.2731102411764708,"[-0.3353331, -0.990497, 8.145160823529412]"
nanny,3,"['tt5028340', 'tt1415283', 'tt3882082']","['Mary Poppins Returns', 'Nanny McPhee and the Big Bang', 'The Boy']",0.9129770527472528,"[0.3227572153846154, -0.16578165714285714, 2.5819556]",3.0811731677655683,"[1.6271424461538462, 1.7942818571428572, 5.8220952000000015]"
1910s,3,"['tt0032553', 'tt3007512', 'tt1441953']","['The Dictator', 'The Water Diviner', 'Testament of Youth']",-0.5711358034188034,"[-0.08230427692307693, -0.8133281333333333, -0.817775]",0.6054661603988605,"[1.7715214923076923, 0.3802100888888889, -0.3353331]"
car stunt,3,"['tt2820852', 'tt2869728', 'tt2938956']","['Furious 7', 'Ride Along 2', 'The Transporter Refueled']",0.6193733909489634,"[0.8579316842105263, 1.271567125, -0.27137863636363635]",3.760691390749601,"[6.993277863157895, 2.1206829, 2.168113409090909]"
