,0,1,2,3,4,5,6
tt1440129,['Peter Berg'],nm0000916,"['Jon Hoeber', 'Erich Hoeber']","['nm0388377', 'nm0388375']","['Alexander Skarsgård', 'Brooklyn Decker', 'Liam Neeson']","['nm0002907', 'nm2395937', 'nm0000553']",41
tt3371366,['Michael Bay'],nm0000881,"['Art Marcum (screenplay by)', 'Matt Holloway (screenplay by)']","['nm1436466', 'nm0391344', 'edits#writers']","['Mark Wahlberg', 'Anthony Hopkins', 'Josh Duhamel']","['nm0000242', 'nm0000164', 'nm0241049']",27
tt0369610,['Colin Trevorrow'],nm1119880,"['Rick Jaffa (screenplay by)', 'Amanda Silver (screenplay by)']","['nm0415425', 'nm0798646', 'edits#writers']","['Chris Pratt', 'Bryce Dallas Howard', 'Ty Simpkins']","['nm0695435', 'nm0397171', 'nm1339223']",59
tt1409024,['Barry Sonnenfeld'],nm0001756,"['Etan Cohen', 'Lowell Cunningham (based on the Malibu comic by)']","['nm1000113', 'nm0192384']","['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']","['nm0000226', 'nm0000169', 'nm0000982']",58
tt2109248,['Michael Bay'],nm0000881,['Ehren Kruger'],['nm0472567'],"['Mark Wahlberg', 'Nicola Peltz', 'Jack Reynor']","['nm0000242', 'nm2443758', 'nm2930503']",32
tt0955308,['Ridley Scott'],nm0000631,"['Brian Helgeland (screenplay)', 'Brian Helgeland (story)']","['nm0001338', 'nm0001338', 'edits#writers']","['Russell Crowe', 'Cate Blanchett', 'Matthew Macfadyen']","['nm0000128', 'nm0000949', 'nm0532193']",53
tt1825683,['Ryan Coogler'],nm3363032,"['Ryan Coogler', 'Joe Robert Cole']","['nm3363032', 'nm1963288', 'edits#writers']","['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o""]","['nm1569276', 'nm0430107', 'nm2143282']",88
tt3606756,['Brad Bird'],nm0083348,['Brad Bird'],['nm0083348'],"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell']","['nm0005266', 'nm0000456', 'nm1102970']",80
tt3748528,['Gareth Edwards'],nm2284484,"['Chris Weitz (screenplay by)', 'Tony Gilroy (screenplay by)']","['nm0919363', 'nm0006904', 'edits#writers']","['Felicity Jones', 'Diego Luna', 'Alan Tudyk']","['nm0428065', 'nm0526019', 'nm0876138']",65
tt2277860,"['Andrew Stanton', 'Angus MacLane (co-director)']",nm0004056,"['Andrew Stanton (original story by)', 'Andrew Stanton (screenplay by)']","['nm0004056', 'nm0004056', 'edits#writers']","['Ellen DeGeneres', 'Albert Brooks', ""Ed O'Neill""]","['nm0001122', 'nm0000983', 'nm0642145']",77
tt0435761,['Lee Unkrich'],nm0881279,"['John Lasseter (story by)', 'Andrew Stanton (story by)']","['nm0005124', 'nm0004056', 'edits#writers']","['Tom Hanks', 'Tim Allen', 'Joan Cusack']","['nm0000158', 'nm0000741', 'nm0000349']",92
