,0,1,2,3,4,5,6
tt1411704,['Tim Hill'],nm0384722,"['Cinco Paul (screenplay)', 'Ken Daurio (screenplay)']","['nm0666791', 'nm0202425', 'edits#writers']","['Russell Brand', 'James Marsden', 'Elizabeth Perkins']","['nm1258970', 'nm0005188', 'nm0001610']",41
tt1961175,['Michael Cuesta'],nm0191147,"['Stephen Schiff (screenplay by)', 'Michael Finch (screenplay by)']","['nm0771496', 'nm3360218', 'edits#writers']","[""Dylan O'Brien"", 'Michael Keaton', 'Sanaa Lathan']","['nm3729721', 'nm0000474', 'nm0005125']",45
tt3460252,['Quentin Tarantino'],nm0000233,['Quentin Tarantino'],['nm0000233'],"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh']","['nm0000168', 'nm0000621', 'nm0000492']",68
tt2267998,['David Fincher'],nm0000399,"['Gillian Flynn (screenplay)', 'Gillian Flynn (novel)']","['nm5058839', 'nm5058839']","['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris']","['nm0000255', 'nm0683253', 'nm0000439']",79
tt4046784,['Wes Ball'],nm1226871,"['T.S. Nowlin (screenplay by)', 'James Dashner (based upon the novel ""The Scorch Trials"" by)']","['nm2385905', 'nm4212895']","[""Dylan O'Brien"", 'Kaya Scodelario', 'Thomas Brodie-Sangster']","['nm3729721', 'nm2546012', 'nm1032473']",43
tt1272878,['Baltasar Kormákur'],nm0466349,"['Blake Masters (screenplay by)', 'Steven Grant (based on the Boom! Studios graphic novels by)']","['nm1398578', 'nm1556427']","['Denzel Washington', 'Mark Wahlberg', 'Paula Patton']","['nm0000243', 'nm0000242', 'nm1745736']",55
tt4500922,['Wes Ball'],nm1226871,"['T.S. Nowlin (screenplay by)', 'James Dashner (based upon the novel by)']","['nm2385905', 'nm4212895']","[""Dylan O'Brien"", 'Ki Hong Lee', 'Kaya Scodelario']","['nm3729721', 'nm3859624', 'nm2546012']",50
tt7616798,['Charles Martin Smith'],nm0001747,"['W. Bruce Cameron (screenplay by)', 'Cathryn Michon (screenplay by)']","['nm1240326', 'nm0585243', 'edits#writers']","['Ashley Judd', 'Jonah Hauer-King', 'Edward James Olmos']","['nm0000171', 'nm5999355', 'nm0001579']",50
tt1490017,"['Christopher Miller', 'Phil Lord']",nm0588087,"['Phil Lord (screenplay by)', 'Christopher Miller (screenplay by)']","['nm0520488', 'nm0588087', 'edits#writers']","['Chris Pratt', 'Will Ferrell', 'Elizabeth Banks']","['nm0695435', 'nm0002071', 'nm0006969']",83
tt3263904,['Clint Eastwood'],nm0000142,"['Todd Komarnicki', 'Chesley Sullenberger (based on the book ""Highest Duty"" by) (as Chesley \'Sully\' Sullenberger)']","['nm0464548', 'nm3314810', 'edits#writers']","['Tom Hanks', 'Aaron Eckhart', 'Laura Linney']","['nm0000158', 'nm0001173', 'nm0001473']",74
tt1245526,['Robert Schwentke'],nm0777881,"['Jon Hoeber (screenplay)', 'Erich Hoeber (screenplay)']","['nm0388377', 'nm0388375', 'edits#writers']","['Bruce Willis', 'Helen Mirren', 'Morgan Freeman']","['nm0000246', 'nm0000545', 'nm0000151']",60
tt0879870,['Ryan Murphy'],nm0614682,"['Ryan Murphy (screenplay)', 'Jennifer Salt (screenplay)']","['nm0614682', 'nm0759022', 'edits#writers']","['Julia Roberts', 'Javier Bardem', 'Richard Jenkins']","['nm0000210', 'nm0000849', 'nm0420955']",50
tt0790724,['Christopher McQuarrie'],nm0003160,"['Lee Child (based on the book ""One Shot"" by)', 'Christopher McQuarrie (written for the screen by)']","['nm1676193', 'nm0003160']","['Tom Cruise', 'Rosamund Pike', 'Richard Jenkins']","['nm0000129', 'nm0683253', 'nm0420955']",50
tt1598778,['Steven Soderbergh'],nm0001752,['Scott Z. Burns'],['nm1994243'],"['Matt Damon', 'Kate Winslet', 'Jude Law']","['nm0000354', 'nm0000701', 'nm0000179']",70
tt3300542,['Babak Najafi'],nm0619836,"['Creighton Rothenberger (based on characters created by)', 'Katrin Benedikt (based on characters created by)']","['nm4950667', 'nm4951717', 'edits#writers']","['Gerard Butler', 'Aaron Eckhart', 'Morgan Freeman']","['nm0124930', 'nm0001173', 'nm0000151']",28
tt3393786,['Edward Zwick'],nm0001880,"['Richard Wenk (screenplay)', 'Edward Zwick (screenplay)']","['nm0921013', 'nm0001880', 'edits#writers']","['Tom Cruise', 'Cobie Smulders', 'Aldis Hodge']","['nm0000129', 'nm1130627', 'nm0388038']",47
tt1469304,['Seth Gordon'],nm1164861,"['Michael Berk (based on the series ""Baywatch"" created by)', 'Douglas Schwartz (based on the series ""Baywatch"" created by)']","['nm0075276', 'nm0777209', 'edits#writers']","['Dwayne Johnson', 'Zac Efron', 'Alexandra Daddario']","['nm0425005', 'nm1374980', 'nm1275259']",37
tt1623288,"['Chris Butler', 'Sam Fell']",nm2752098,['Chris Butler'],['nm2752098'],"['Kodi Smit-McPhee', 'Anna Kendrick', 'Christopher Mintz-Plasse']","['nm2240346', 'nm0447695', 'nm2395586']",72
tt0787474,"['Graham Annable', 'Anthony Stacchi']",nm0030253,"['Irena Brignull (screenplay)', 'Adam Pava (screenplay)']","['nm0109267', 'nm1106082', 'edits#writers']","['Ben Kingsley', 'Jared Harris', 'Nick Frost']","['nm0001426', 'nm0364813', 'nm0296545']",61
tt1648190,['Nikolaj Arcel'],nm1064048,"['Akiva Goldsman (screenplay by)', 'Jeff Pinkner (screenplay by)']","['nm0326040', 'nm0684374', 'edits#writers']","['Idris Elba', 'Matthew McConaughey', 'Tom Taylor']","['nm0252961', 'nm0000190', 'nm6999211']",34
tt1205537,['Kenneth Branagh'],nm0000110,"['Adam Cozad', 'David Koepp']","['nm3092414', 'nm0462895', 'edits#writers']","['Chris Pine', 'Kevin Costner', 'Keira Knightley']","['nm1517976', 'nm0000126', 'nm0461136']",57
tt6266538,['Adam McKay'],nm0570912,['Adam McKay'],['nm0570912'],"['Christian Bale', 'Amy Adams', 'Steve Carell']","['nm0000288', 'nm0010736', 'nm0136797']",61
tt1321870,['Ruben Fleischer'],nm0281508,"['Will Beall', 'Paul Lieberman (book)']","['nm3263825', 'nm4624299']","['Sean Penn', 'Ryan Gosling', 'Emma Stone']","['nm0000576', 'nm0331516', 'nm1297015']",40
tt2398241,['Kelly Asbury'],nm0038432,"['Stacey Harman', 'Pamela Ribon']","['nm1632630', 'nm0962596', 'edits#writers']","['Demi Lovato', 'Rainn Wilson', 'Joe Manganiello']","['nm1416215', 'nm0933988', 'nm0542133']",40
tt1213641,['Damien Chazelle'],nm3227090,"['Josh Singer (screenplay by)', 'James R. Hansen (based on the book by)']","['nm1802857', 'nm2973253']","['Ryan Gosling', 'Claire Foy', 'Jason Clarke']","['nm0331516', 'nm2946516', 'nm0164809']",84
tt1226273,['Martin Campbell'],nm0132709,"['William Monahan (screenplay)', 'Andrew Bovell (screenplay)']","['nm1184258', 'nm0100597', 'edits#writers']","['Mel Gibson', 'Ray Winstone', 'Danny Huston']","['nm0000154', 'nm0935653', 'nm0396812']",55
tt2083383,['Robert Lorenz'],nm0520749,['Randy Brown'],['nm4720384'],"['Clint Eastwood', 'Amy Adams', 'John Goodman']","['nm0000142', 'nm0010736', 'nm0000422']",58
tt5719748,['Hans Petter Moland'],nm0596407,"['Frank Baldwin (screenplay by)', ""Kim Fupz Aakeson (based on the movie 'Kraftidioten' written by)""]","['nm2737558', 'nm0007344']","['Liam Neeson', 'Laura Dern', 'Micheál Richardson']","['nm0000553', 'nm0000368', 'nm6183410']",57
tt1538403,['Harald Zwart'],nm0958969,"['Jessica Postigo (screenplay by) (as Jessica Postigo Paquette)', 'Cassandra Clare (based on the novel by)']","['nm0692942', 'nm3673996']","['Lily Collins', 'Jamie Campbell Bower', 'Robert Sheehan']","['nm2934314', 'nm2570429', 'nm1588066']",33
tt0822847,['Scott Stewart'],nm0829820,"['Cory Goodman', 'Min-Woo Hyung (graphic novel series ""Priest"")']","['nm2309430', 'nm2312828']","['Paul Bettany', 'Cam Gigandet', 'Maggie Q']","['nm0079273', 'nm1544217', 'nm0702572']",41
tt1837709,['Akiva Goldsman'],nm0326040,"['Akiva Goldsman (screenplay)', 'Mark Helprin (novel)']","['nm0326040', 'nm4311444']","['Colin Farrell', 'Jessica Brown Findlay', 'Russell Crowe']","['nm0268199', 'nm3726887', 'nm0000128']",31
tt2822672,['Ash Brannon'],nm0105169,"['Ash Brannon (screenplay by)', 'Kurt Voelker (screenplay by)']","['nm0105169', 'nm0900820', 'edits#writers']","['Luke Wilson', 'Eddie Izzard', 'J.K. Simmons']","['nm0005561', 'nm0412850', 'nm0799777']",48
tt3045616,['David Koepp'],nm0462895,"['Eric Aronson (screenplay)', 'Kyril Bonfiglioli (novel)']","['nm0036962', 'nm5795768']","['Johnny Depp', 'Gwyneth Paltrow', 'Ewan McGregor']","['nm0000136', 'nm0000569', 'nm0000191']",27
tt2296777,['John Stevenson'],nm0828970,"['Ben Zazove (screenplay by)', 'Andy Riley (story by)']","['nm4475394', 'nm0726978', 'edits#writers']","['Johnny Depp', 'James McAvoy', 'Emily Blunt']","['nm0000136', 'nm0564215', 'nm1289434']",36
tt6811018,['Joe Cornish'],nm0180428,['Joe Cornish'],['nm0180428'],"['Louis Ashbourne Serkis', 'Denise Gough', 'Dean Chaumoo']","['nm6162831', 'nm1740112', 'nm9299964']",66
tt1431045,['Tim Miller'],nm1783265,"['Rhett Reese', 'Paul Wernick']","['nm1014201', 'nm1116660']","['Ryan Reynolds', 'Morena Baccarin', 'T.J. Miller']","['nm0005351', 'nm1072555', 'nm2554352']",65
tt2179136,['Clint Eastwood'],nm0000142,"['Jason Hall', 'Chris Kyle (book)']","['nm0355699', 'nm4881574', 'edits#writers']","['Bradley Cooper', 'Sienna Miller', 'Kyle Gallner']","['nm0177896', 'nm1092227', 'nm0973177']",72
tt1051904,['Rob Letterman'],nm1224299,"['Darren Lemke (screenplay by)', 'Scott Alexander (story by)']","['nm0501359', 'nm0018735', 'edits#writers']","['Jack Black', 'Dylan Minnette', 'Odeya Rush']","['nm0085312', 'nm1910255', 'nm3843467']",60
tt0485985,['Anthony Hemingway'],nm0376006,"['John Ridley (story)', 'John Ridley (screenplay)']","['nm0725983', 'nm0725983', 'edits#writers']","['Cuba Gooding Jr.', 'Gerald McRaney', 'David Oyelowo']","['nm0000421', 'nm0574468', 'nm0654648']",46
tt2234155,['Shawn Levy'],nm0506613,"['Vince Vaughn (screenplay)', 'Jared Stern (screenplay)']","['nm0000681', 'nm2972864', 'edits#writers']","['Vince Vaughn', 'Owen Wilson', 'Rose Byrne']","['nm0000681', 'nm0005562', 'nm0126284']",42
tt5442430,['Daniel Espinosa'],nm1174251,"['Rhett Reese', 'Paul Wernick']","['nm1014201', 'nm1116660']","['Jake Gyllenhaal', 'Rebecca Ferguson', 'Ryan Reynolds']","['nm0350453', 'nm0272581', 'nm0005351']",54
tt1220634,['Paul W.S. Anderson'],nm0027271,['Paul W.S. Anderson'],['nm0027271'],"['Milla Jovovich', 'Ali Larter', 'Wentworth Miller']","['nm0000170', 'nm0005123', 'nm0589505']",37
tt1232200,['Sean Anders'],nm1890845,['David Caspe'],['nm2791292'],"['Adam Sandler', 'Andy Samberg', 'Leighton Meester']","['nm0001191', 'nm1676221', 'nm1015262']",31
tt1071875,"['Mark Neveldine (as Neveldine)', 'Brian Taylor (as Taylor)']",nm0004410,"['Scott M. Gimple (screenplay)', 'Seth Hoffman (screenplay)']","['nm0991355', 'nm2397756', 'edits#writers']","['Nicolas Cage', 'Ciarán Hinds', 'Idris Elba']","['nm0000115', 'nm0001354', 'nm0252961']",34
tt0083907,['Sam Raimi'],nm0000600,['Sam Raimi'],['nm0000600'],"['Bruce Campbell', 'Ellen Sandweiss', 'Richard DeManincor']","['nm0132257', 'nm0762445', 'nm0217822']",71
tt1727824,['Bryan Singer'],nm0001741,"['Anthony McCarten (story by)', 'Peter Morgan (story by)']","['nm0565026', 'nm0604948', 'edits#writers']","['Rami Malek', 'Lucy Boynton', 'Gwilym Lee']","['nm1785339', 'nm2377903', 'nm3152605']",49
tt4465564,['James Foley'],nm0001226,"['Niall Leonard (screenplay by)', 'E.L. James (based on the novel by)']","['nm0502727', 'nm1093317']","['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson']","['nm0424848', 'nm1946193', 'nm0425053']",33
tt1535109,['Paul Greengrass'],nm0339030,"['Billy Ray (screenplay)', 'Richard Phillips (based upon the book ""A Captain\'s Duty']","['nm0712753', 'nm3697679', 'edits#writers']","['Tom Hanks', 'Barkhad Abdi', 'Barkhad Abdirahman']","['nm0000158', 'nm5831542', 'nm5831543']",82
tt3402236,['Kenneth Branagh'],nm0000110,"['Michael Green (screenplay by)', 'Agatha Christie (based upon the novel by)']","['nm0338169', 'nm0002005']","['Kenneth Branagh', 'Penélope Cruz', 'Willem Dafoe']","['nm0000110', 'nm0004851', 'nm0000353']",52
tt0455944,['Antoine Fuqua'],nm0298807,"['Richard Wenk', 'Michael Sloan (based on the television series created by)']","['nm0921013', 'nm0805994', 'edits#writers']","['Denzel Washington', 'Marton Csokas', 'Chloë Grace Moretz']","['nm0000243', 'nm0190744', 'nm1631269']",57
tt4477536,['James Foley'],nm0001226,"['Niall Leonard (screenplay by)', 'E.L. James (based on the novel by)']","['nm0502727', 'nm1093317']","['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson']","['nm0424848', 'nm1946193', 'nm0425053']",31
tt1279935,['Shawn Levy'],nm0506613,['Josh Klausner'],['nm0458441'],"['Steve Carell', 'Tina Fey', 'Mark Wahlberg']","['nm0136797', 'nm0275486', 'nm0000242']",56
tt1109624,['Paul King'],nm1653753,"['Paul King', 'Hamish McColl (screen story by)']","['nm1653753', 'nm0566100', 'edits#writers']","['Hugh Bonneville', 'Sally Hawkins', 'Julie Walters']","['nm0095017', 'nm1020089', 'nm0910278']",77
tt1396218,['Mark Waters'],nm0914132,"['Sean Anders (screenplay)', 'John Morris (screenplay)']","['nm1890845', 'nm1898234', 'edits#writers']","['Jim Carrey', 'Carla Gugino', 'Angela Lansbury']","['nm0000120', 'nm0001303', 'nm0001450']",53
tt1621039,['Jimmy Hayward'],nm0371755,"['Scott Mosier (screenplay)', 'Jimmy Hayward (screenplay)']","['nm0608714', 'nm0371755', 'edits#writers']","['Woody Harrelson', 'Owen Wilson', 'Dan Fogler']","['nm0000437', 'nm0005562', 'nm0283945']",38
tt2281587,['James Bobin'],nm0090386,"['James Bobin', 'Nicholas Stoller']","['nm0090386', 'nm0831557', 'edits#writers']","['Ricky Gervais', 'Ty Burrell', 'Tina Fey']","['nm0315041', 'nm0123092', 'nm0275486']",61
tt4302938,['Travis Knight'],nm1325899,"['Marc Haimes (screenplay by)', 'Chris Butler (screenplay by)']","['nm1199351', 'nm2752098', 'edits#writers']","['Charlize Theron', 'Art Parkinson', 'Matthew McConaughey']","['nm0000234', 'nm3280686', 'nm0000190']",84
tt1126591,['Steve Antin (as Steven Antin)'],nm0031078,['Steve Antin (as Steven Antin)'],['nm0031078'],"['Cher', 'Christina Aguilera', 'Alan Cumming']","['nm0000333', 'nm0004694', 'nm0001086']",47
tt2798920,['Alex Garland'],nm0307497,"['Alex Garland (written for the screen by)', 'Jeff VanderMeer (based on the novel by)']","['nm0307497', 'nm4554159']","['Natalie Portman', 'Jennifer Jason Leigh', 'Tessa Thompson']","['nm0000204', 'nm0000492', 'nm1935086']",79
tt2554274,['Guillermo del Toro'],nm0868219,"['Guillermo del Toro', 'Matthew Robbins']","['nm0868219', 'nm0730422']","['Mia Wasikowska', 'Jessica Chastain', 'Tom Hiddleston']","['nm1985859', 'nm1567113', 'nm1089991']",66
tt1430626,"['Peter Lord', 'Jeff Newitt (co-director)']",nm0520485,"['Gideon Defoe (book)', 'Gideon Defoe (screenplay by)']","['nm2704527', 'nm2704527']","['Hugh Grant', 'Salma Hayek', 'Jeremy Piven']","['nm0000424', 'nm0000161', 'nm0005315']",73
tt1308729,['Walter Hill'],nm0001353,"['Alessandro Camon (screenplay by)', 'Alexis Nolent (based on the graphic novel ""Du plomb dans la tête"" written by) (as Matz)']","['nm0131947', 'nm1989798', 'edits#writers']","['Sylvester Stallone', 'Jason Momoa', 'Christian Slater']","['nm0000230', 'nm0597388', 'nm0000225']",48
tt1355683,['Scott Cooper'],nm0178376,"['Mark Mallouk (screenplay)', 'Jez Butterworth (screenplay)']","['nm3286851', 'nm0125336', 'edits#writers']","['Johnny Depp', 'Benedict Cumberbatch', 'Dakota Johnson']","['nm0000136', 'nm1212722', 'nm0424848']",68
tt1790885,['Kathryn Bigelow'],nm0000941,['Mark Boal'],['nm1676793'],"['Jessica Chastain', 'Joel Edgerton', 'Chris Pratt']","['nm1567113', 'nm0249291', 'nm0695435']",95
tt0817230,['Garry Marshall'],nm0005190,"['Katherine Fugate (screenplay)', 'Katherine Fugate (story)']","['nm0297545', 'nm0297545', 'edits#writers']","['Julia Roberts', 'Jamie Foxx', 'Anne Hathaway']","['nm0000210', 'nm0004937', 'nm0004266']",34
tt1488555,['David Dobkin'],nm0229694,"['Jon Lucas', 'Scott Moore']","['nm0524190', 'nm0601859']","['Jason Bateman', 'Ryan Reynolds', 'Olivia Wilde']","['nm0000867', 'nm0005351', 'nm1312575']",39
tt1179034,['Pierre Morel'],nm0603628,"['Adi Hasak (screenplay)', 'Luc Besson (story)']","['nm0367867', 'nm0000108']","['John Travolta', 'Jonathan Rhys Meyers', 'Kasia Smutniak']","['nm0000237', 'nm0001667', 'nm0810738']",42
tt4244998,['Albert Hughes'],nm0400436,"['Daniele Sebastian Wiedenhaupt (screenplay by)', 'Albert Hughes (story by)']","['nm4470029', 'nm0400436']","['Kodi Smit-McPhee', 'Jóhannes Haukur Jóhannesson', 'Marcin Kowalczyk']","['nm2240346', 'nm1778512', 'nm5105099']",63
tt1385826,['George Nolfi'],nm1079776,"['George Nolfi (screenplay)', 'Philip K. Dick (short story ""Adjustment Team"")']","['nm1079776', 'nm0001140']","['Matt Damon', 'Emily Blunt', 'Lisa Thoreson']","['nm0000354', 'nm1289434', 'nm2564974']",60
tt2294449,"['Phil Lord', 'Christopher Miller']",nm0520488,"['Michael Bacall (screenplay)', 'Oren Uziel (screenplay)']","['nm0045209', 'nm3349927', 'edits#writers']","['Channing Tatum', 'Jonah Hill', 'Ice Cube']","['nm1475594', 'nm1706767', 'nm0001084']",71
tt1489889,['Rawson Marshall Thurber'],nm1098493,"['Ike Barinholtz (screenplay)', 'David Stassen (screenplay)']","['nm0054697', 'nm2811682', 'edits#writers']","['Dwayne Johnson', 'Kevin Hart', 'Danielle Nicolet']","['nm0425005', 'nm0366389', 'nm0630379']",52
tt1229340,['Adam McKay'],nm0570912,"['Will Ferrell', 'Adam McKay']","['nm0002071', 'nm0570912', 'edits#writers']","['Will Ferrell', 'Christina Applegate', 'Paul Rudd']","['nm0002071', 'nm0000775', 'nm0748620']",61
tt1650062,['J.J. Abrams'],nm0009190,['J.J. Abrams'],['nm0009190'],"['Elle Fanning', 'AJ Michalka', 'Kyle Chandler']","['nm1102577', 'nm1404488', 'nm0151419']",72
tt6343314,['Steven Caple Jr.'],nm4023702,"['Juel Taylor (screenplay by)', 'Sylvester Stallone (screenplay by)']","['nm3541432', 'nm0000230', 'edits#writers']","['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson']","['nm0430107', 'nm0000230', 'nm1935086']",66
tt5117670,['Will Gluck'],nm0323239,"['Rob Lieber (screen story by)', 'Will Gluck (screen story by)']","['nm1464577', 'nm0323239', 'edits#writers']","['James Corden', 'Fayssal Bazzi', 'Domhnall Gleeson']","['nm0179479', 'nm2417960', 'nm1727304']",51
tt7959026,['Clint Eastwood'],nm0000142,"['Nick Schenk', 'Sam Dolnick (inspired by the New York Times Magazine Article ""The Sinaloa Cartel\'s 90-Year Old Drug Mule"" by)']","['nm1010405', 'nm10095627']","['Clint Eastwood', 'Patrick L. Reyes', 'Cesar De León']","['nm0000142', 'nm8423767', 'nm1478076']",58
tt2024469,['Jaume Collet-Serra'],nm1429471,"['John W. Richardson (screenplay)', 'Christopher Roach (screenplay) (as Chris Roach)']","['nm1622147', 'nm1496753', 'edits#writers']","['Liam Neeson', 'Julianne Moore', 'Scoot McNairy']","['nm0000553', 'nm0000194', 'nm1058940']",56
tt4877122,['Tony Leondis'],nm1902232,"['Tony Leondis (screenplay by)', 'Eric Siegel (screenplay by)']","['nm1902232', 'nm0796928', 'edits#writers']","['T.J. Miller', 'James Corden', 'Anna Faris']","['nm2554352', 'nm0179479', 'nm0267506']",12
tt1570728,"['Glenn Ficarra', 'John Requa']",nm0275629,['Dan Fogelman'],['nm1557594'],"['Steve Carell', 'Ryan Gosling', 'Julianne Moore']","['nm0136797', 'nm0331516', 'nm0000194']",68
tt6294822,['Steven Spielberg'],nm0000229,"['Liz Hannah', 'Josh Singer']","['nm2176283', 'nm1802857']","['Meryl Streep', 'Tom Hanks', 'Sarah Paulson']","['nm0000658', 'nm0000158', 'nm0005299']",83
tt1389137,['Cameron Crowe'],nm0001081,"['Aline Brosh McKenna (screenplay)', 'Cameron Crowe (screenplay)']","['nm0112459', 'nm0001081', 'edits#writers']","['Matt Damon', 'Scarlett Johansson', 'Thomas Haden Church']","['nm0000354', 'nm0424060', 'nm0002006']",58
tt1210166,['Bennett Miller'],nm0587955,"['Steven Zaillian (screenplay)', 'Aaron Sorkin (screenplay)']","['nm0001873', 'nm0815070', 'edits#writers']","['Brad Pitt', 'Robin Wright', 'Jonah Hill']","['nm0000093', 'nm0000705', 'nm1706767']",87
tt2980706,['Roberts Gannaway (as Bobs Gannaway)'],nm0304432,"['Roberts Gannaway (story and screenplay by) (as Bobs Gannaway)', 'Jeffrey M. Howard (story and screenplay by)']","['nm0304432', 'nm0397377']","['Dane Cook', 'Ed Harris', 'Julie Bowen']","['nm0176981', 'nm0000438', 'nm0100866']",48
tt1605630,"['Jon Hurwitz', 'Hayden Schlossberg']",nm1375358,"['Jon Hurwitz (screenplay)', 'Hayden Schlossberg (screenplay)']","['nm1375358', 'nm1376383', 'edits#writers']","['Jason Biggs', 'Alyson Hannigan', 'Seann William Scott']","['nm0004755', 'nm0004989', 'nm0005405']",49
tt1464540,['D.J. Caruso'],nm0142286,"['Alfred Gough (screenplay)', 'Miles Millar (screenplay)']","['nm0332184', 'nm0587692', 'edits#writers']","['Alex Pettyfer', 'Timothy Olyphant', 'Dianna Agron']","['nm1641117', 'nm0648249', 'nm1872698']",36
tt4172430,['Michael Bay'],nm0000881,"['Chuck Hogan (screenplay)', 'Mitchell Zuckoff (book)']","['nm2353561', 'nm4021083']","['John Krasinski', 'Pablo Schreiber', 'James Badge Dale']","['nm1024677', 'nm1032567', 'nm0197647']",48
tt3532216,['Doug Liman'],nm0510731,['Gary Spinelli'],['nm0818889'],"['Tom Cruise', 'Domhnall Gleeson', 'Sarah Wright']","['nm0000129', 'nm1727304', 'nm0942792']",65
tt2262227,['Jorge R. Gutiérrez (as Jorge R. Gutierrez)'],nm1509613,"['Jorge R. Gutiérrez (screenplay by) (as Jorge R. Gutierrez)', 'Doug Langdale (screenplay by)']","['nm1509613', 'nm0486007']","['Diego Luna', 'Zoe Saldana', 'Channing Tatum']","['nm0526019', 'nm0757855', 'nm1475594']",67
tt2106361,['Steven Quale'],nm0702797,['John Swetnam'],['nm4291727'],"['Richard Armitage', 'Sarah Wayne Callies', 'Matt Walsh']","['nm0035514', 'nm0915637', 'nm0909768']",44
tt1872194,['David Dobkin'],nm0229694,"['Nick Schenk (screenplay)', 'Bill Dubuque (screenplay)']","['nm1010405', 'nm4057793', 'edits#writers']","['Robert Downey Jr.', 'Robert Duvall', 'Vera Farmiga']","['nm0000375', 'nm0000380', 'nm0267812']",48
tt2005151,['Todd Phillips'],nm0680846,"['Stephen Chin (screenplay)', 'Todd Phillips (screenplay)']","['nm0157787', 'nm0680846', 'edits#writers']","['Jonah Hill', 'Miles Teller', 'Steve Lantz']","['nm1706767', 'nm1886602', 'nm3111373']",57
tt3799694,['Shane Black'],nm0000948,"['Shane Black', 'Anthony Bagarozzi']","['nm0000948', 'nm0046524']","['Russell Crowe', 'Ryan Gosling', 'Angourie Rice']","['nm0000128', 'nm0331516', 'nm3886028']",70
tt1392197,['Tom Dey'],nm0223359,"['Tim Rasmussen', 'Vince Di Meglio']","['nm0711422', 'nm0224084', 'edits#writers']","['Owen Wilson', 'Judy Greer', 'Lee Pace']","['nm0005562', 'nm0339460', 'nm1195855']",30
tt1212419,['Clint Eastwood'],nm0000142,['Peter Morgan'],['nm0604948'],"['Matt Damon', 'Cécile de France', 'Bryce Dallas Howard']","['nm0000354', 'nm0208426', 'nm0397171']",56
tt1608290,['Ben Stiller'],nm0001774,"['Justin Theroux', 'Ben Stiller']","['nm0857620', 'nm0001774', 'edits#writers']","['Ben Stiller', 'Owen Wilson', 'Penélope Cruz']","['nm0001774', 'nm0005562', 'nm0004851']",34
tt0468492,['Bong Joon Ho'],nm0094435,"['Bong Joon Ho (screenplay)', 'Won-jun Ha (screenplay) (as Jun-won Ha)']","['nm0094435', 'nm1506112', 'edits#writers']","['Kang-ho Song', 'Hee-Bong Byun', 'Hae-il Park']","['nm0814280', 'nm1322404', 'nm1310960']",85
tt2199571,['Jaume Collet-Serra'],nm1429471,['Brad Ingelsby'],['nm2145487'],"['Liam Neeson', 'Ed Harris', 'Joel Kinnaman']","['nm0000553', 'nm0000438', 'nm1172478']",59
tt2274648,['Neil Marshall'],nm0551076,"['Andrew Cosby (screenplay by)', 'Mike Mignola (based on the Dark Horse Comic Book ""Hellboy"" created by)']","['nm1184676', 'nm0586005']","['David Harbour', 'Milla Jovovich', 'Ian McShane']","['nm1092086', 'nm0000170', 'nm0574534']",31
tt1240982,['David Gordon Green'],nm0337773,"['Danny McBride (as Danny R. McBride)', 'Ben Best']","['nm1144419', 'nm0078897']","['Danny McBride', 'Natalie Portman', 'James Franco']","['nm1144419', 'nm0000204', 'nm0290556']",31
tt3774114,['Oliver Stone'],nm0000231,"['Kieran Fitzgerald (screenplay by)', 'Oliver Stone (screenplay by)']","['nm1634307', 'nm0000231', 'edits#writers']","['Joseph Gordon-Levitt', 'Shailene Woodley', 'Melissa Leo']","['nm0330687', 'nm0940362', 'nm0502425']",58
tt1462041,['Jim Sheridan'],nm0006487,['David Loucka'],['nm0521649'],"['Daniel Craig', 'Rachel Weisz', 'Naomi Watts']","['nm0185819', 'nm0001838', 'nm0915208']",35
tt1124037,['Gary Ross'],nm0002657,"['Gary Ross (screenplay by)', 'Leonard Hartman (story)']","['nm0002657', 'nm0366989', 'edits#writers']","['Matthew McConaughey', 'Gugu Mbatha-Raw', 'Mahershala Ali']","['nm0000190', 'nm1813221', 'nm0991810']",53
tt1559547,['Richard LaGravenese'],nm0481418,"['Richard LaGravenese (screenplay)', 'Kami Garcia (based on the novel ""Beautiful Creatures"" by)']","['nm0481418', 'nm3721581', 'edits#writers']","['Alice Englert', 'Viola Davis', 'Emma Thompson']","['nm2129444', 'nm0205626', 'nm0000668']",52
tt1502404,['Patrick Lussier'],nm0527261,"['Todd Farmer', 'Patrick Lussier']","['nm0267805', 'nm0527261']","['Nicolas Cage', 'Amber Heard', 'William Fichtner']","['nm0000115', 'nm1720028', 'nm0001209']",44
tt4701724,['Nick Park'],nm0661910,"['Mark Burton (screenplay by)', 'James Higginson (screenplay by)']","['nm0123666', 'nm2664949', 'edits#writers']","['Eddie Redmayne', 'Tom Hiddleston', 'Maisie Williams']","['nm1519666', 'nm1089991', 'nm3586035']",68
tt1014763,['Daniel Espinosa'],nm1174251,"['Richard Price (screenplay)', 'Tom Rob Smith (novel)']","['nm0697115', 'nm1602547']","['Tom Hardy', 'Gary Oldman', 'Noomi Rapace']","['nm0362766', 'nm0000198', 'nm0636426']",41
