,count,imdb_keys,movie_titles,average_domroi,average_worldroi
numbered sequel,4,"['tt1302011', 'tt2267968', 'tt1985966', 'tt3486626']","['Kung Fu Panda 2', 'Kung Fu Panda 3', 'Cloudy with a Chance of Meatballs 2', 'The Nut Job 2: Nutty by Nature']",0.09298571324175825,2.270800310315934
no title at beginning,4,"['tt6428676', 'tt7401588', 'tt2126357', 'tt2183034']","['Wonder Park', 'Instant Family', 'Second Act', 'Earth to Echo']",0.8381523055366038,1.7303327758374158
sex in bed,4,"['tt1261945', 'tt1956620', 'tt0090583', 'tt1866249']","['Sex and the City 2', 'Sex Tape', 'About Last Night', 'The Sessions']",1.9277645121204459,4.40732385513664
woman',4,"['tt4824302', 'tt4287320', 'tt2390361', 'tt3099638']","['Motherâ\x80\x99s Day', 'The Circle', 'Enough Said', 'Barfi']",0.3105244221256039,2.886340158254831
worst picture razzie winner,4,"['tt1673434', 'tt5697572', 'tt0810913', 'tt5646136']","['The Twilight Saga: Breaking Dawn, Part 1', 'Cats & Dogs: The Revenge of Kitty Galore', 'Jack and Jill', 'Hillaryâ\x80\x99s America: The Secret History of the Democratic Party']",0.5694110512410027,1.8155577458798708
hacking,4,"['tt4196776', 'tt1285016', 'tt0480255', 'tt4761916']","['Jason Bourne', 'The Social Network', 'The Losers', 'Unfriended: Dark Web']",2.3965193241666665,5.6800660687499995
torture',4,"['tt1951265', 'tt2802144', 'tt1392214', 'tt2872732']","['The Hunger Games: Mockingjay - Part 1', 'Kingsman: The Secret Service', 'Prisoners', 'Lucy']",1.1380148763829787,5.084852752610546
grandfather grandson relationship,4,"['tt0817230', 'tt1047540', 'tt0110684', 'tt1860213']","[""Valentine's Day"", 'Parental Guidance', 'Nobodyâ\x80\x99s Fool', 'Dirty Grandpa']",1.4948950780910053,3.9674534417320895
ku klux klan,4,"['tt1853728', 'tt7349662', 'tt0004972', 'tt4807408']","['Django Unchained', 'BlacKkKlansman', 'The Birth of a Nation', 'The Best of Enemies']",0.8799488016666667,2.352575399166667
mixed martial arts,4,"['tt1648179', 'tt4560436', 'tt1291584', 'tt4832640']","['Here Comes the Boom', 'Mile 22', 'Warrior', 'Sultan']",-0.20865617380952384,1.8104970519480519
katana sword,4,"['tt1335975', 'tt0047478', 'tt1092634', 'tt0057212']","['47 Ronin', 'The Magnificent Seven', 'Shanghai', 'JÃ»san-nin no shikaku']",-0.6519801031746032,0.5260366838095237
widow,4,"['tt4218572', 'tt4341582', 'tt0896923', 'tt0240200']","['Widows', 'Queen of Katwe', 'The City of Your Final Destination', 'Water & Power']",-0.5544866700803213,-0.3122515889558233
painting,4,"['tt2278388', 'tt2473794', 'tt1126590', 'tt1614989']","['The Grand Budapest Hotel', 'Mr. Turner', 'Big Eyes', 'Hodejegerne']",-0.033698062173579124,2.4165132170506913
villainess,4,"['tt2334879', 'tt1535108', 'tt3717490', 'tt5177088']","['White House Down', 'Elysium', 'Power Rangers', 'The Girl in the Spiderâ\x80\x99s Web']",-0.4202508163468992,0.4389664245058139
flashback',4,"['tt3289724', 'tt1462769', 'tt3387542', 'tt1840417']","['Welcome to Marwen', 'The Odd Life of Timothy Green', 'The Forest', 'The Words']",0.5276895041666666,1.1176365048611112
elevator,4,"['tt1396218', 'tt1790864', 'tt1314655', 'tt2884206']","[""Mr. Poppers's Penguins"", 'The Maze Runner', 'Devil', 'I Origins']",0.9893665645721924,4.2200573758021385
christmas eve,4,"['tt1041804', 'tt1430607', 'tt3530002', 'tt0424205']","['The Nutcracker in 3D', 'Arthur Christmas', 'The Night Before', 'Happy Christmas']",-0.3241883448879552,0.1297251296545285
gross out comedy,4,"['tt4481514', 'tt1116184', 'tt1470023', 'tt4034354']","['The House', 'Jackass 3D', 'MacGruber', 'Swiss Army Man']",1.1892854666666668,2.0431983604166666
bechdel test passed,4,"['tt1981677', 'tt1951181', 'tt3316960', 'tt2396566']","['Pitch Perfect', 'The Immigrant', 'Still Alice', '20 Feet From Stardom']",2.1567411764705886,4.383147411580882
train station,4,"['tt1781769', 'tt1590193', 'tt2024432', 'tt0443465']","['Anna Karenina', 'The Commuter', 'Identity Thief', 'Before We Go']",0.2563983710034013,1.292588315518707
politician,4,"['tt4218572', 'tt1018765', 'tt4540710', 'tt2674454']","['Widows', 'Our Brand is Crisis', 'Miss Sloane', 'Churchill']",-0.5918518236111111,-0.16482784166666672
gambling,4,"['tt2717822', 'tt4537896', 'tt2039393', 'tt3276924']","['Blackhat', 'White Boy Rick', 'The Gambler', 'Heist']",-0.4331487046789727,-0.23297987489834138
dark fantasy,4,"['tt1587310', 'tt2567026', 'tt2381991', 'tt1121096']","['Maleficent', 'Alice Through the Looking Glass', 'The Huntsman: Winterâ\x80\x99s War', 'Seventh Son']",-0.40041324226043584,1.1063037593767293
civil rights,4,"['tt1327773', 'tt1020072', 'tt4807408', 'tt5804038']","[""Lee Daniels' The Butler"", 'Selma', 'The Best of Enemies', 'I Am Not Your Negro']",2.659015625,3.9694105833333335
pistol,4,"['tt6565702', 'tt0383010', 'tt1748227', 'tt1641841']","['Dark Phoenix', 'The Three Stooges', 'The Collection', 'Skin Trade']",-0.42966691428571424,-0.2203046345238095
friendship',4,"['tt1446192', 'tt5697572', 'tt1053810', 'tt0090583']","['Rise of the Guardians', 'Cats & Dogs: The Revenge of Kitty Galore', 'The Big Year', 'About Last Night']",0.28575899745194455,0.8785395704084193
italy,4,"['tt1921064', 'tt1161864', 'tt1859650', 'tt0065571']","['Pompeii', 'The Rite', 'To Rome with Love', 'Il conformista']",-0.49041252795084334,0.8894696737043002
reference to god,4,"['tt1433108', 'tt3210686', 'tt6053438', 'tt2051894']","['Faster', 'Son of God', 'First Reformed', 'Home Run']",0.7626213181818183,1.0516842117153682
isolation,4,"['tt1355644', 'tt0084787', 'tt2547584', 'tt4263482']","['Passengers', 'The Thing', 'The Light Between Oceans', 'The Witch']",1.2915943283578264,3.0364403958304855
haunting,4,"['tt0087332', 'tt0084516', 'tt0098672', 'tt0230600']","['Ghostbusters', 'Poltergeist', 'The Woman in Black', 'The Darkness']",1.139234958829365,2.91165753343254
absurdism,4,"['tt1608290', 'tt3464902', 'tt5688932', 'tt1612774']","['Zoolander 2', 'The Lobster', 'Sorry to Bother You', 'Rubber']",1.0719809233333333,2.0468617288888886
alternate timeline,4,"['tt1409024', 'tt0892791', 'tt1340138', 'tt2436386']","['Men in Black 3', 'Shrek Forever After', 'Terminator: Genisys', 'Project Almanac']",0.18025027791692239,2.28916945857345
taxi,4,"['tt5463162', 'tt0472181', 'tt0848537', 'tt1606378']","['Deadpool 2', 'The Smurfs', 'Epic', 'A Good Day to Die Hard']",0.513642405,3.552909045681818
toilet,4,"['tt2091256', 'tt3381008', 'tt1322312', 'tt2568862']","['Captain Underpants: The First Epic Movie', 'The Brothers Grimsby', 'Going the Distance', 'Going in Style']",0.143390275489505,1.198057588463346
heart attack,4,"['tt6266538', 'tt3202120', 'tt0808285', 'tt0382330']","['Vice', 'Barbecue', 'The Good Heart', 'As It Is in Heaven']",-0.7918032624269006,-0.6685425016812866
money',4,"['tt3532216', 'tt2140479', 'tt0070379', 'tt2101441']","['American Made', 'The Accountant', 'Season of the Witch', 'Spring Breakers']",0.65721975625,2.76086287875
florida,4,"['tt1496422', 'tt1915581', 'tt1645089', 'tt6322922']","['The Paperboy', 'Magic Mike', 'Inside Job', 'An Inconvenient Sequel']",4.488206678571428,7.6063534921428575
undercover cop,4,"['tt0102685', 'tt1232829', 'tt7349662', 'tt7137380']","['Point Break', '21 Jump Street', 'BlacKkKlansman', 'Destroyer']",0.759897458452381,2.1765199001190476
climate change,4,"['tt6053438', 'tt5001130', 'tt2125435', 'tt6322922']","['First Reformed', 'Time to Choose', 'Beasts of the Southern Wild', 'An Inconvenient Sequel']",1.899777765873016,3.969956333333334
sociopath,4,"['tt1386697', 'tt1821658', 'tt7137380', 'tt2872718']","['Suicide Squad', 'The Nut Job', 'Destroyer', 'Nightcrawler']",0.9948392299439777,2.6695596140616247
action heroine,4,"['tt1951264', 'tt5095030', 'tt0448694', 'tt3014284']","['The Hunger Games: Catching Fire', 'Ant-Man and the Wasp', 'Puss in Boots', 'The Lego Ninjago Movie']",0.7320607835164835,3.367193654120879
hunt,4,"['tt3062096', 'tt1424381', 'tt2106476', 'tt1105355']","['Inferno', 'Predators', 'Jagten', 'Growing up Smith']",-0.5063071055072463,1.8581567487862316
police detective,4,"['tt1712261', 'tt3319920', 'tt1210042', 'tt2226417']","['Triple 9', 'Regression', ""Brooklyn's Finest"", 'Insidious Chapter 2']",3.7374661529411766,8.195137133823533
female friendship,4,"['tt1850457', 'tt7040874', 'tt6857166', 'tt1151410']","['Sisters', 'A Simple Favor', 'Book Club', 'Tanner Hall']",2.1093095166666664,3.382212620833333
trial,4,"['tt2637276', 'tt1872194', 'tt1959563', 'tt1754633']","['Ted 2', 'The Judge', 'The Hitmanâ\x80\x99s Bodyguard', 'The Ghastly Love of Johnny X']",0.16435183142156864,1.6193050730882352
gay character,4,"['tt2066051', 'tt1171222', 'tt6472976', 'tt2690138']","['Rocketman', 'Baggage Claim', 'Five Feet Apart', 'The D Train']",1.6730418833435812,3.2750901899637905
death',4,"['tt0485985', 'tt2358891', 'tt2359024', 'tt0048452']","['Red Tails', 'La grande bellezza', 'Blue Ruin', 'The Word']",-0.5665748038793104,0.09738008938834153
partner,4,"['tt1712170', 'tt2377322', 'tt1013860', 'tt1658801']","['Alex Cross', 'Deliver Us from Evil', 'Dylan Dog: Dead of Night', 'Freeheld']",-0.5259345178571428,0.12405694345238102
profanity,4,"['tt1790886', 'tt2637276', 'tt1489889', 'tt7961060']","['The Campaign', 'Ted 2', 'Central Intelligence', 'Dragon Ball Super: Broly']",1.0588884534133127,4.770856537113003
african american',4,"['tt4682786', 'tt1699755', 'tt4807408', 'tt2396566']","['Collateral Beauty', 'Peeples', 'The Best of Enemies', '20 Feet From Stardom']",0.9156615938131313,1.5322076569444447
interspecies friendship,4,"['tt1979388', 'tt1302011', 'tt2224026', 'tt4701182']","['The Good Dinosaur', 'Kung Fu Panda 2', 'Home', 'Bumblebee']",0.09243421730015083,2.4355795409773755
girl',4,"['tt1621039', 'tt2854926', 'tt11490170', 'tt1529572']","['Free Birds', 'Tag', 'Hit & Run', 'Trust']",-0.0941793871753247,0.3926414376623377
nazi germany,4,"['tt2713180', 'tt0816442', 'tt5673782', 'tt3499096']","['Fury', 'The Book Thief', 'Genius', 'Race']",0.5266990449496904,1.9525084343943497
female assassin,4,"['tt2094766', 'tt1245526', 'tt6932244', 'tt3316948']","['Assassinâ\x80\x99s Creed', 'Red', 'Hanna', 'American Ultra']",-0.04969899983333334,1.115040189595238
terminal illness,4,"['tt2582846', 'tt1801552', 'tt2582496', 'tt4056738']","['The Fault in Our Stars', 'Gotti', 'Me and Earl and the Dying Girl', 'Do You Believe?']",3.3313452275362323,7.395988471014492
ape,4,"['tt2103281', 'tt3450958', 'tt1318514', 'tt0795461']","['Dawn of the Planet of the Apes', 'War for the Planet of the Apes', 'Rise of the Planet of the Apes', 'Scary Movie V']",0.4236230286560805,3.0990826753639023
abortion,4,"['tt4550098', 'tt9024106', 'tt1720182', 'tt2910274']","['Nocturnal Animals', 'Unplanned', 'October Baby', 'Obvious Child']",1.9925817027777777,2.2934850527777777
hospital',4,"['tt2820852', 'tt3829920', 'tt1655441', 'tt5462602']","['Furious 7', 'Only the Brave', 'The Age of Adaline', 'The Big Sick']",2.084012634649123,4.433380816228071
final showdown,4,"['tt1302011', 'tt3829266', 'tt6811018', 'tt2446042']","['Kung Fu Panda 2', 'The Predator', 'The Kid Who Would Be King', 'Taken 3']",-0.043603714594247556,2.387816654845275
superhero team,4,"['tt2395427', 'tt0974015', 'tt3385516', 'tt1502712']","['Avengers: Age of Ultron', 'Justice League', 'X-Men: Apocalypse', 'Fantastic Four']",-0.12681613383760884,1.719258096239447
pills,4,"['tt1219289', 'tt1322269', 'tt4540710', 'tt2364897']","['Limitless', 'August: Osage County', 'Miss Sloane', 'The Disappointments Room']",0.20018998055555554,1.1134171166666664
aging,4,"['tt1758830', 'tt1655441', 'tt1412386', 'tt1602620']","['This is 40', 'The Age of Adaline', 'The Best Exotic Marigold Hotel', 'Amour']",1.1709842397766321,4.533422338340697
chinawoman,4,"['tt4779682', 'tt2557478', 'tt1764651', 'tt3104988']","['The Meg', 'Pacific Rim: Uprising', 'The Expendables 2', 'Crazy Rich Asians']",0.9678582213887881,2.9770774868527248
kissing while having sex,4,"['tt1570728', 'tt1606389', 'tt1195478', 'tt0090583']","['Crazy, Stupid, Love', 'The Vow', 'The Five-Year Engagement', 'About Last Night']",1.638048686923077,2.866174157307692
mansion,4,"['tt2561572', 'tt1270761', 'tt0230600', 'tt3099498']","['Get Hard', ""Don't Be Afraid of the Dark"", 'The Darkness', 'Tusk']",0.6294686929166666,0.8954003304166666
typewriter,4,"['tt1051904', 'tt1149361', 'tt4595882', 'tt0843358']","['Goosebumps', 'Micmacs', 'Can You Ever Forgive Me?', 'My Dog Tulip']",-0.2511539425287357,0.2707930949507389
sword,4,"['tt0437086', 'tt4849438', 'tt3576728', 'tt2328900']","['Alita: Battle Angel', 'Baahubali 2: The Conclusion', 'Bilal: A New Breed of Hero', 'Mary Queen of Scots']",-0.546964191862745,2.261221755980392
animal protagonist,4,"['tt1402488', 'tt2974918', 'tt2822672', 'tt5314190']","['Happy Feet Two', 'Alvin and the Chipmunks: The Road Chip', 'Rock Dog', 'Sgt. Stubby: An American Hero']",-0.5730994185185185,0.12269567740740744
parody,4,"['tt1817771', 'tt2828996', 'tt2243537', 'tt4191580']","['Freaks of Nature', 'A Haunted House 2', 'A Haunted House', 'Meet the Blacks']",6.614763242550504,8.845186617550505
sign language,4,"['tt4425200', 'tt5580390', 'tt6644200', 'tt4761916']","['John Wick: Chapter Two', 'The Shape of Water', 'A Quiet Place', 'Unfriended: Dark Web']",5.375643487481146,11.609168440865384
dead body,4,"['tt2101341', 'tt1682180', 'tt1281374', 'tt4034354']","['Dead Man Down', 'Stoker', 'Don McKay', 'Swiss Army Man']",-0.5222811875000001,-0.09894186249999995
farce,4,"['tt1240982', 'tt4481514', 'tt1931435', 'tt0795368']","['Your Highness', 'The House', 'The Big Wedding', 'Death at a Funeral']",-0.05547173653846155,0.28113061309981685
key,4,"['tt0477302', 'tt2364897', 'tt1668200', 'tt5726086']","['Extremely Loud and Incredibly Close', 'The Disappointments Room', ""Elle s'appelait Sarah"", 'Insidious: The Last Key']",1.065689140158046,4.040145852227012
cheating husband,4,"['tt2203939', 'tt0961108', 'tt2692904', 'tt3230082']","['The Other Woman', 'Fireflies in the Garden', 'Locke', 'La chambre bleue']",-0.25656434732142863,0.9399898535714287
pregnant wife,4,"['tt1375670', 'tt1454029', 'tt2194499', 'tt2752688']","['Grown Ups', 'The Help', 'About Time', 'Rosewater']",1.6345317025000001,3.978862273333333
sequel',4,"['tt2557478', 'tt2637276', 'tt3065204', 'tt2975578']","['Pacific Rim: Uprising', 'Ted 2', 'The Conjuring 2: The Enfield Poltergeist', 'The Purge: Anarchy']",2.0244035087154746,5.3114028586706725
waitress,4,"['tt1502404', 'tt2660806', 'tt1233192', 'tt3268668']","['Drive Angry', 'Mama', 'Brighton Rock', 'Captive']",0.5755401763636363,2.02768835969697
teenage protagonist,4,"['tt0948470', 'tt2250912', 'tt3095734', 'tt1865346']","['The Amazing Spider-Man', 'Spider-Man: Homecoming', 'Monster Trucks', 'Detention of the Dead']",-0.15717835095454546,1.2427940357727274
blood splatter',4,"['tt0938330', 'tt1106860', 'tt1640459', 'tt1148200']","['Silent Hill: Revelation 3D', 'Ca$h', 'Hobo with a Shotgun', 'Chain Letter']",-0.703444143452381,-0.14385998095238098
transformation,4,"['tt6139732', 'tt0780653', 'tt0089175', 'tt7961060']","['Aladdin', 'The Wolfman', 'Fright Night', 'Dragon Ball Super: Broly']",0.48849327991057956,4.036220678400129
search,4,"['tt1748122', 'tt1730687', 'tt3099498', 'tt1390539']","['Moonrise Kingdom', 'Darling Companion', 'Tusk', 'The Lost Medallion: The Adventures of Billy Stone']",-0.06554443541666663,0.3130235437500001
iran,4,"['tt1024648', 'tt2752688', 'tt2403393', 'tt1832382']","['Argo', 'Rosewater', 'Desert Dancer', 'Jodaeiye Nader az Simin']",2.070394931601123,8.026163343539325
jewish,4,"['tt2004420', 'tt5301662', 'tt2474024', 'tt2309788']","['Neighbors', 'Marshall', 'The Last Five Years', 'The Gatekeepers']",1.7137863263888897,3.43159763888889
white panties,4,"['tt2191701', 'tt1723121', 'tt1499658', 'tt1878870']","['Grown Ups 2', ""We're the Millers"", 'Horrible Bosses', 'The Edge of Seventeen']",1.67433045051346,3.6292319387816385
resistance,3,"['tt4046784', 'tt2304771', 'tt5968394']","['Maze Runner: The Scorch Trials', 'Mandela: Long Walk to Freedom', 'Captive State']",-0.3948555806401249,1.1016640143637784
supernatural,3,"['tt0433362', 'tt0098672', 'tt3157318']","['Daybreakers', 'The Woman in Black', 'Dawn of the Crescent Moon']",0.7482060611111111,2.762218338888889
madea series,3,"['tt2609758', 'tt5325452', 'tt2215285']","[""Tyler Perry's A Madea Christmas"", 'Tyler Perryâ\x80\x99s Boo! A Madea Halloween', ""Tyler Perry's Madea's Witness Protection""]",2.01490447,2.036531886666667
male female relationship,3,"['tt1233192', 'tt1247662', 'tt1281374']","['Brighton Rock', 'The Good Guy', 'Don McKay']",-0.9889222181818181,-0.9887298181818182
woman hits a man,3,"['tt1764651', 'tt1103153', 'tt1555064']","['The Expendables 2', 'Killers', 'Country Strong']",-0.05810794666666667,0.92252056
evil,3,"['tt1457767', 'tt7752126', 'tt2034139']","['The Conjuring', 'BrightBurn', 'The Last Exorcism Part II']",3.354679123809524,7.753561171428571
aeroplane,3,"['tt0451279', 'tt5463162', 'tt1389072']","['Wonder Woman', 'Deadpool 2', 'Downsizing']",1.0202706268092692,3.475596663796791
hurricane,3,"['tt5360952', 'tt6306064', 'tt6322922']","['The Hurricane Heist', 'Adrift', 'An Inconvenient Sequel']",0.5160398285714286,1.7558731857142857
friend',3,"['tt1673434', 'tt0486822', 'tt2582496']","['The Twilight Saga: Breaking Dawn, Part 1', 'Paranoia', 'Me and Earl and the Dying Girl']",0.07856398071895426,1.32466925375817
disney,3,"['tt2771200', 'tt5523010', 'tt2140373']","['Beauty and the Beast', 'The Nutcracker and the Four Realms', 'Saving Mr. Banks']",0.9809548765637878,3.1453368082244975
cannibalism,3,"['tt1037705', 'tt5109784', 'tt1974419']","['The Book of Eli', 'mother!', 'The Neon Demon']",-0.34782614305555554,0.29224271527777784
bus,3,"['tt1018765', 'tt1714209', 'tt1772288']","['Our Brand is Crisis', 'In The Land of Blood and Honey', 'Danny Collins']",-0.7209458320512819,-0.6024327692307692
laundry drying on a clothesline,3,"['tt0947810', 'tt1053424', 'tt0403702']","['Green Zone', 'Repo Men', 'Youth in Revolt']",-0.4533798593055556,-0.12084161157407408
mouse,3,"['tt5117670', 'tt2119543', 'tt1816518']","['Peter Rabbit', 'The House with a Clock in its Walls', 'Ernest et Celestine']",0.3472763983333335,2.61704627
child protagonist,3,"['tt4341582', 'tt4981636', 'tt2125435']","['Queen of Katwe', 'Middle School: The Worst Years of My Life', 'Beasts of the Southern Wild']",2.3513853154684097,4.445981264052288
female agent,3,"['tt1509767', 'tt3300542', 'tt3316948']","['The Three Musketeers', 'London Has Fallen', 'American Ultra']",-0.4052646648148148,0.9631330230158729
year 1944,3,"['tt0485985', 'tt2674454', 'tt3808342']","['Red Tails', 'Churchill', 'Saul fia']",-0.32225831791751186,1.4434785164300201
car stunt,3,"['tt2820852', 'tt2869728', 'tt2938956']","['Furious 7', 'Ride Along 2', 'The Transporter Refueled']",0.6193733909489634,3.760691390749601
minotaur character,3,"['tt0980970', 'tt1646987', 'tt1240982']","['The Chronicles of Narnia: The Voyage of the Dawn Treader', 'Wrath of the Titans', 'Your Highness']",-0.4456021177060932,0.7518489897491039
retirement,3,"['tt1441951', 'tt1412386', 'tt2350496']","['Quartet', 'The Best Exotic Marigold Hotel', 'The Lunchbox']",1.9330501217468805,7.58871796969697
shapeshifting,3,"['tt6139732', 'tt1981115', 'tt0084787']","['Aladdin', 'Thor: The Dark World', 'The Thing']",0.05959910938885674,1.8084479210384936
stabbing,3,"['tt1904996', 'tt2328900', 'tt2400463']","['Parker', 'Mary Queen of Scots', 'The Invitation']",-0.5353964800000001,0.20372642095238094
opening action scene,3,"['tt1124037', 'tt3576728', 'tt1486193']","['Free State of Jones', 'Bilal: A New Breed of Hero', '5 Days of War']",-0.8553256433333334,-0.8354396366666667
dance class,3,"['tt1414382', 'tt1874789', 'tt1294161']","['You Again', 'Supporting Characters', 'The Exploding Girl']",-0.33121578333333335,-0.21226758333333337
miniaturization,3,"['tt1014759', 'tt0478970', 'tt1389072']","['Alice in Wonderland', 'Ant-Man', 'Downsizing']",0.13889374683257916,2.306533477526395
battle',3,"['tt1667889', 'tt2788710', 'tt2924392']","['Ice Age: Continental Drift', 'The Interview', 'Higher Power']",-0.3873551198564593,2.1807520054226477
yelling,3,"['tt2109248', 'tt3881784', 'tt4795124']","['Transformers: Age of Extinction', 'Stronger', 'How to Be a Latin Lover']",0.5080229571428573,2.9352811555555554
shower,3,"['tt1322312', 'tt1251743', 'tt1570989']","['Going the Distance', 'Salvation Boulevard', 'Tiny Furniture']",1.7983467812500005,2.2835935625
punctuation in title,3,"['tt2247692', 'tt1307926', 'tt2035599']","['2016: Obamaâ\x80\x99s America', 'Go For It!', 'Pink Ribbons, Inc.']",3.4785719519274374,3.478860523356009
hired killer,3,"['tt1712170', 'tt2679042', 'tt2911666']","['Alex Cross', 'Hitman: Agent 47', 'John Wick']",-0.061269814285714284,0.9671466333333333
year 1992,3,"['tt6565702', 'tt1564367', 'tt5360952']","['Dark Phoenix', 'Just Go With It', 'The Hurricane Heist']",-0.47902496488095236,0.2963904803571429
forename as title,3,"['tt1551641', 'tt0466893', 'tt1480658']","['Winnie Mandela', 'Margaret', 'Eddie: The Sleepwalking Cannibal']",-0.9971135984126983,-0.983396765079365
superstition,3,"['tt1161864', 'tt1045658', 'tt6450186']","['The Rite', 'Silver Linings Playbook', 'I Can Only Imagine']",5.369790137709138,7.704141149292148
writer',3,"['tt1563738', 'tt0896923', 'tt5114154']","['One Day', 'The City of Your Final Destination', 'Let There Be Light']",0.13116943989290494,1.1737989480589024
confession,3,"['tt2377322', 'tt2193215', 'tt3832914']","['Deliver Us from Evil', 'The Counselor', 'War Room']",7.098297222222222,9.143557875555556
based on short story,3,"['tt2543164', 'tt2936180', 'tt1015471']","['Arrival', 'Loin des hommes', 'The Sisterhood of Night']",-0.28438581993184114,0.48968513659390284
snake,3,"['tt1790886', 'tt2283362', 'tt1303803']","['The Campaign', 'Jumanji: Welcome to the Jungle', 'Standing Ovation']",0.8347757490671123,2.971960595655806
tape over mouth,3,"['tt1245526', 'tt3014866', 'tt7137846']","['Red', 'Criminal', 'Breaking In']",2.2600145878306876,3.3578106436507937
male female friendship,3,"['tt2024432', 'tt0889573', 'tt1563738']","['Identity Thief', 'The Switch', 'One Day']",1.0756482553049287,2.85968000116959
club,3,"['tt1322312', 'tt4799050', 'tt3216348']","['Going the Distance', 'Rough Night', 'Incarnate']",-0.12612623541666665,0.8596832458333332
bikini girl,3,"['tt1033575', 'tt1563742', 'tt1333125']","['The Descendants', 'Overboard', 'Movie 43']",2.0694345333333337,5.335339066666667
studio logo segues into film,3,"['tt1302067', 'tt1142977', 'tt0480255']","['Yogi Bear', 'Frankenweenie', 'The Losers']",0.03384916480769231,0.9450088869658119
male friendship,3,"['tt1987680', 'tt1245492', 'tt1636826']","['The Upside', 'This is the End', 'Project X']",2.539404160833333,4.238005788750001
tied to a chair,3,"['tt1067774', 'tt1967545', 'tt1477076']","['Monte Carlo', 'Labor Day', 'Saw 3D']",0.530345038888889,2.5464808798474947
flood,3,"['tt0881320', 'tt1188996', 'tt2125435']","['Sanctum', 'My Name is Khan', 'Beasts of the Southern Wild']",1.786705688093052,6.185876340102323
person on fire,3,"['tt0052618', 'tt2140379', 'tt0090837']","['Ben-Hur', 'Self/Less', 'Robot & Frank']",-0.30757065708502024,0.41119431592442646
ancient egypt,3,"['tt0120616', 'tt2404233', 'tt1186830']","['The Mummy', 'Gods of Egypt', 'Agora']",-0.7859504523809523,0.21701719169719177
alaska,3,"['tt1220634', 'tt1053810', 'tt1430615']","['Resident Evil: Afterlife', 'The Big Year', 'Big Miracle']",-0.4248808752562743,0.988260833863556
anthropomorphism,3,"['tt2948356', 'tt6182908', 'tt2822672']","['Zootopia', 'Smallfoot', 'Rock Dog']",0.15754401361111112,2.2899377341666667
drinking,3,"['tt2294449', 'tt0466893', 'tt1625346']","['22 Jump Street', 'Margaret', 'Young Adult']",0.73235156015873,1.855687125714286
clone,3,"['tt4881806', 'tt1371111', 'tt1334260']","['Jurassic World: Fallen Kingdom', 'Cloud Atlas', 'Never Let Me Go']",-0.03824914509803919,2.2356801169934646
los angeles california',3,"['tt2066051', 'tt7137380', 'tt1974419']","['Rocketman', 'Destroyer', 'The Neon Demon']",-0.417759250406504,0.1778245425474256
monster versus monster,3,"['tt3731562', 'tt3741700', 'tt0831387']","['Kong: Skull Island', 'Godzilla: King of the Monsters', 'Godzilla']",-0.11132907326112874,1.6999999886360626
psychological thriller,3,"['tt2024469', 'tt1265990', 'tt4972582']","['Non-Stop', 'The Roommate', 'Split']",9.5981389625,20.174909662500003
independent film',3,"['tt1754633', 'tt3145220', 'tt1716760']","['The Ghastly Love of Johnny X', 'Hits', 'Raymond Did It']",-0.9642753333333335,-0.9642753333333335
based on short film,3,"['tt3766394', 'tt2910274', 'tt4266638']","['Hello, My Name is Doris', 'Obvious Child', 'Krisha']",6.465005000000001,6.604724333333333
abuse,3,"['tt1559547', 'tt5580036', 'tt1238834']","['Beautiful Creatures', 'I, Tonya', 'Wuthering Heights']",0.04341704499999995,1.1455076051515152
myth,3,"['tt1646987', 'tt0082186', 'tt4056738']","['Wrath of the Titans', 'Clash of the Titans', 'Do You Believe?']",1.5031442336038652,3.066796069352657
male frontal nudity',3,"['tt1853728', 'tt2401878', 'tt3072636']","['Django Unchained', 'Anomalisa', 'The Past is a Grotesque Animal']",-0.23382496999999994,0.8044380766666667
narcissism,3,"['tt1625346', 'tt1126590', 'tt3787590']","['Young Adult', 'Big Eyes', 'We Are Your Friends']",0.5344030611111111,2.2347859000000003
christmas party,3,"['tt1711525', 'tt3530002', 'tt1268799']","['Office Christmas Party', 'The Night Before', 'A Very Harold & Kumar 3D Christmas']",0.5638453240740741,0.9799292448148149
five word title,3,"['tt2239832', 'tt1568921', 'tt3766394']","['Think Like a Man Too', 'Kari gurashi no Arietti', 'Hello, My Name is Doris']",4.996328193840579,7.055773455917875
womanizer,3,"['tt0770703', 'tt1294213', 'tt2378281']","[""What's Your Number?"", 'Solitary Man', 'No se Aceptan Devoluciones']",2.3142797466666667,6.318118763333334
boxing match,3,"['tt6343314', 'tt3076658', 'tt1781827']","['Creed II', 'Creed', 'Hands of Stone']",0.8388829194594595,2.071481630900901
gang,3,"['tt1478964', 'tt1233192', 'tt4158096']","['Attack the Block', 'Brighton Rock', 'Free Fire']",-0.9068025207459206,-0.7009627745920746
ensemble film,3,"['tt0848228', 'tt4824302', 'tt0795368']","['The Avengers', 'Motherâ\x80\x99s Day', 'Death at a Funeral']",1.03501756,2.7244372783068775
abduction,3,"['tt0468492', 'tt5052448', 'tt1379177']","['The Host', 'Get Out', 'The Disappearance of Alice Creed']",10.950642340000002,16.81107462888889
father son relationship',3,"['tt1415283', 'tt0989757', 'tt1801552']","['Nanny McPhee and the Big Bang', 'Dear John', 'Gotti']",0.48781624095238096,2.0281774057142856
