,0,1,2,3,4,5,6,7,8,9
tt1253863,300: Rise of an Empire,2014,R,1h 42min,"['Action', 'Drama']",7 March 2014,USA,6.2,,
tt1355644,Passengers,2016,PG-13,1h 56min,"['Drama', 'Romance', 'Sci-Fi']",21 December 2016,USA,7.0,,
tt0990407,The Green Hornet,2011,PG-13,1h 59min,"['Action', 'Comedy', 'Crime']",14 January 2011,USA,5.8,,
tt1935859,Miss Peregrine's Home for Peculiar Children,2016,PG-13,2h 7min,"['Adventure', 'Drama', 'Family']",30 September 2016,USA,6.7,,
tt0433035,Real Steel,2011,PG-13,2h 7min,"['Action', 'Drama', 'Sci-Fi']",7 October 2011,USA,7.1,,
tt0429493,The A-Team,2010,PG-13,1h 57min,"['Action', 'Adventure', 'Thriller']",11 June 2010,USA,6.7,,
tt2017020,The Smurfs 2,2013,PG,1h 45min,"['Animation', 'Adventure', 'Comedy']",31 July 2013,USA,5.3,,
tt3410834,Allegiant,2016,PG-13,2h,"['Action', 'Adventure', 'Mystery']",18 March 2016,USA,5.7,,
tt1731141,Ender's Game,2013,PG-13,1h 54min,"['Action', 'Adventure', 'Fantasy']",1 November 2013,USA,6.6,,
tt1219827,Ghost in the Shell,2017,PG-13,1h 47min,"['Action', 'Crime', 'Drama']",31 March 2017,USA,6.3,,
tt2283336,Men in Black: International,2019,PG-13,1h 54min,"['Action', 'Adventure', 'Comedy']",14 June 2019,USA,5.6,,
tt3659388,The Martian,2015,PG-13,2h 24min,"['Adventure', 'Drama', 'Sci-Fi']",2 October 2015,USA,8.0,,
tt3640424,Allied,2016,R,2h 4min,"['Action', 'Drama', 'Romance']",23 November 2016,USA,7.1,,
tt3416828,Ice Age: Collision Course,2016,PG,1h 34min,"['Animation', 'Adventure', 'Comedy']",22 July 2016,USA,5.7,,
tt4649466,Kingsman: The Golden Circle,2017,R,2h 21min,"['Action', 'Adventure', 'Comedy']",22 September 2017,USA,6.7,,
tt3062026,The Hangover 3,,Documentary,Episode aired 1 July 2013,Documentary,Episode aired 1 July 2013,,,,
tt1620680,A Wrinkle in Time,2018,PG,1h 49min,"['Adventure', 'Family', 'Fantasy']",9 March 2018,USA,4.2,,
tt4701182,Bumblebee,2018,PG-13,1h 54min,"['Action', 'Adventure', 'Sci-Fi']",21 December 2018,USA,6.8,,
tt1371111,Cloud Atlas,2012,R,2h 52min,"['Action', 'Drama', 'Mystery']",26 October 2012,USA,7.4,,
tt1853728,Django Unchained,2012,R,2h 45min,"['Drama', 'Western']",25 December 2012,USA,8.4,,
tt0970866,Little Fockers,2010,PG-13,1h 38min,"['Comedy', 'Romance']",22 December 2010,USA,5.5,,
tt1386588,The Other Guys,2010,PG-13,1h 47min,"['Action', 'Comedy', 'Crime']",6 August 2010,USA,6.6,,
tt0993846,The Wolf of Wall Street,2013,R,3h,"['Biography', 'Crime', 'Drama']",25 December 2013,USA,8.2,,
tt0848537,Epic,2013,PG,1h 42min,"['Animation', 'Adventure', 'Family']",24 May 2013,USA,6.7,,
tt1764651,The Expendables 2,2012,R,1h 43min,"['Action', 'Adventure', 'Thriller']",17 August 2012,USA,6.6,,
tt0119282,Hercules,1997,G,1h 33min,"['Animation', 'Adventure', 'Comedy']",27 June 1997,USA,7.3,,
tt1243957,The Tourist,2010,PG-13,1h 43min,"['Action', 'Adventure', 'Crime']",10 December 2010,USA,6.0,,
tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,2010,PG,1h 37min,"['Animation', 'Action', 'Adventure']",24 September 2010,USA,6.9,,
tt6428676,Wonder Park,2019,PG,1h 25min,"['Animation', 'Adventure', 'Comedy']",15 March 2019,USA,5.8,,
tt2333784,The Expendables 3,2014,PG-13,2h 6min,"['Action', 'Adventure', 'Thriller']",15 August 2014,USA,6.1,,
tt0947810,Green Zone,2010,R,1h 55min,"['Action', 'Drama', 'Thriller']",12 March 2010,USA,6.8,,
tt1981128,Geostorm,2017,PG-13,1h 49min,"['Action', 'Sci-Fi', 'Thriller']",20 October 2017,USA,5.3,,
tt0102685,Point Break,1991,R,2h 2min,"['Action', 'Crime', 'Thriller']",12 July 1991,USA,7.3,,
tt1390411,In the Heart of the Sea,2015,PG-13,2h 2min,"['Action', 'Adventure', 'Biography']",11 December 2015,USA,6.9,,
tt2209764,Transcendence,2014,PG-13,1h 59min,"['Action', 'Drama', 'Sci-Fi']",18 April 2014,USA,6.3,,
tt1571234,Mortal Engines,2018,PG-13,2h 8min,"['Action', 'Adventure', 'Fantasy']",14 December 2018,USA,6.1,,
tt2452042,The Peanuts Movie,2015,G,1h 28min,"['Animation', 'Comedy', 'Family']",6 November 2015,USA,7.1,,
tt3513498,The Lego Movie 2: The Second Part,2019,PG,1h 47min,"['Animation', 'Action', 'Adventure']",8 February 2019,USA,6.6,,
tt2316204,Alien: Covenant,2017,R,2h 2min,"['Horror', 'Sci-Fi', 'Thriller']",19 May 2017,USA,6.4,,
tt1661199,Cinderella,2015,PG,1h 45min,"['Drama', 'Family', 'Fantasy']",13 March 2015,USA,6.9,,
tt1667889,Ice Age: Continental Drift,2012,PG,1h 28min,"['Animation', 'Adventure', 'Comedy']",13 July 2012,USA,6.6,,
tt1261945,Sex and the City 2,2010,R,2h 26min,"['Comedy', 'Drama', 'Romance']",27 May 2010,USA,4.5,,
tt7062794,Percy Jackson,,TV-G,Adventure,['TV Mini-Series (2017– )'],TV-G,Adventure,TV Mini-Series (2017– ),6.8,
tt1790886,The Campaign,2012,R,1h 25min,['Comedy'],10 August 2012,USA,6.1,,
tt0477080,Unstoppable,2010,PG-13,1h 38min,"['Action', 'Thriller']",12 November 2010,USA,6.8,,
tt0052618,Ben-Hur,1959,G,3h 32min,"['Adventure', 'Drama', 'History']",29 January 1960,Brazil,8.1,,
tt1121096,Seventh Son,2014,PG-13,1h 42min,"['Action', 'Adventure', 'Fantasy']",6 February 2015,USA,5.5,,
tt2802144,Kingsman: The Secret Service,2014,R,2h 9min,"['Action', 'Adventure', 'Comedy']",13 February 2015,USA,7.7,,
tt1318514,Rise of the Planet of the Apes,2011,PG-13,1h 45min,"['Action', 'Drama', 'Sci-Fi']",5 August 2011,USA,7.6,,
tt1606378,A Good Day to Die Hard,2013,R,1h 38min,"['Action', 'Thriller']",14 February 2013,USA,5.3,,
tt0359950,The Secret Life of Walter Mitty,2013,PG,1h 54min,"['Comedy', 'Drama', 'Fantasy']",25 December 2013,USA,7.3,,
tt2283362,Jumanji: Welcome to the Jungle,2017,PG-13,1h 59min,"['Action', 'Adventure', 'Comedy']",20 December 2017,USA,6.9,,
tt4633694,Spider-Man: Into the Spider-Verse,2018,PG,1h 57min,"['Animation', 'Action', 'Adventure']",14 December 2018,USA,8.4,,
m0000203,,,,,,,,,,
tt1568346,The Girl with the Dragon Tattoo,2011,R,2h 38min,"['Crime', 'Drama', 'Mystery']",21 December 2011,USA,7.8,,
tt0047478,Seven Samurai,1954,Not Rated,3h 27min,"['Action', 'Adventure', 'Drama']",19 November 1956,USA,8.6,,
tt2974918,Alvin and the Chipmunks: The Road Chip,2015,PG,1h 32min,"['Animation', 'Adventure', 'Comedy']",18 December 2015,USA,5.0,,
tt2120120,Pixels,2015,PG-13,1h 45min,"['Action', 'Comedy', 'Fantasy']",24 July 2015,USA,5.5,,
tt1854564,Percy Jackson: Sea of Monsters,2013,PG,1h 46min,"['Adventure', 'Family', 'Fantasy']",7 August 2013,USA,5.8,,
tt3110958,Now You See Me 2,2016,PG-13,2h 9min,"['Action', 'Adventure', 'Comedy']",10 June 2016,USA,6.5,,
tt1365519,Tomb Raider,2018,PG-13,1h 59min,"['Action', 'Adventure', 'Fantasy']",16 March 2018,USA,6.3,,
tt0082198,Conan the Barbarian,1982,R,2h 9min,"['Action', 'Adventure', 'Fantasy']",14 May 1982,USA,6.9,,
tt1509767,The Three Musketeers,2011,PG-13,1h 50min,"['Action', 'Adventure', 'Fantasy']",21 October 2011,USA,5.7,,
tt4776998,The Promise,2016,PG-13,2h 13min,"['Action', 'Adventure', 'Drama']",21 April 2017,USA,6.0,,
tt1041804,The Nutcracker in 3D,2010,PG,1h 50min,"['Action', 'Family', 'Fantasy']",8 December 2011,Hungary,4.2,,
tt3829266,The Predator,2018,R,1h 47min,"['Action', 'Adventure', 'Sci-Fi']",14 September 2018,USA,5.3,,
tt1840309,Divergent,2014,PG-13,2h 19min,"['Action', 'Adventure', 'Mystery']",21 March 2014,USA,6.7,,
tt0837562,Hotel Transylvania,2012,PG,1h 31min,"['Animation', 'Comedy', 'Family']",28 September 2012,USA,7.1,,
tt0448115,Shazam!,2019,PG-13,2h 12min,"['Action', 'Adventure', 'Comedy']",5 April 2019,USA,7.1,,
tt1599348,Safe House,2012,R,1h 55min,"['Action', 'Thriller']",10 February 2012,USA,6.7,,
tt0471042,Tower Heist,2011,PG-13,1h 44min,"['Action', 'Comedy', 'Crime']",4 November 2011,USA,6.2,,
tt1667353,Mirror Mirror,2012,PG,1h 46min,"['Adventure', 'Comedy', 'Drama']",30 March 2012,USA,5.6,,
tt1430607,Arthur Christmas,2011,PG,1h 37min,"['Animation', 'Adventure', 'Comedy']",23 November 2011,USA,7.1,,
tt1293847,xXx: Return of Xander Cage,2017,PG-13,1h 47min,"['Action', 'Adventure', 'Thriller']",20 January 2017,USA,5.2,,
tt5697572,Cats,2019,PG,1h 50min,"['Comedy', 'Drama', 'Family']",20 December 2019,USA,2.7,,
tt0446029,Scott Pilgrim vs. the World,2010,PG-13,1h 52min,"['Action', 'Comedy', 'Fantasy']",13 August 2010,USA,7.5,,
tt1485796,The Greatest Showman,2017,PG,1h 45min,"['Biography', 'Drama', 'Musical']",20 December 2017,USA,7.6,,
tt1821694,RED 2,2013,PG-13,1h 56min,"['Action', 'Adventure', 'Comedy']",19 July 2013,USA,6.6,,
tt1320253,The Expendables,2010,R,1h 43min,"['Action', 'Adventure', 'Thriller']",13 August 2010,USA,6.5,,
tt1392170,The Hunger Games,2012,PG-13,2h 22min,"['Action', 'Adventure', 'Sci-Fi']",23 March 2012,USA,7.2,,
tt1411697,The Hangover Part II,2011,R,1h 42min,['Comedy'],26 May 2011,USA,6.4,,
tt4116284,The Lego Batman Movie,2017,PG,1h 44min,"['Animation', 'Action', 'Comedy']",10 February 2017,USA,7.3,,
tt2510894,Hotel Transylvania 2,2015,PG,1h 29min,"['Animation', 'Comedy', 'Family']",25 September 2015,USA,6.7,,
tt2191701,Grown Ups 2,2013,PG-13,1h 41min,['Comedy'],12 July 2013,USA,5.4,,
tt1615918,Alvin and the Chipmunks: Chipwrecked,2011,G,1h 27min,"['Animation', 'Adventure', 'Comedy']",16 December 2011,USA,4.3,,
tt1130884,Shutter Island,2010,R,2h 18min,"['Mystery', 'Thriller']",19 February 2010,USA,8.2,,
tt1564367,Just Go with It,2011,PG-13,1h 57min,"['Comedy', 'Romance']",11 February 2011,USA,6.4,,
tt1302067,Yogi Bear,2010,PG,1h 20min,"['Animation', 'Adventure', 'Comedy']",17 December 2010,USA,4.6,,
tt1037705,The Book of Eli,2010,R,1h 58min,"['Action', 'Adventure', 'Drama']",15 January 2010,USA,6.9,,
tt2713180,Fury,2014,R,2h 14min,"['Action', 'Drama', 'War']",17 October 2014,USA,7.6,,
tt6182908,Smallfoot,2018,PG,1h 36min,"['Animation', 'Adventure', 'Comedy']",28 September 2018,USA,6.6,,
tt1222817,Zookeeper,2011,PG,1h 42min,"['Comedy', 'Family', 'Fantasy']",8 July 2011,USA,5.2,,
tt5113040,The Secret Life of Pets 2,2019,PG,1h 26min,"['Animation', 'Adventure', 'Comedy']",7 June 2019,USA,6.5,,
tt1762399,Walking with Dinosaurs 3D,2013,PG,1h 27min,"['Animation', 'Adventure', 'Family']",20 December 2013,USA,5.2,,
tt1618442,The Last Witch Hunter,2015,PG-13,1h 46min,"['Action', 'Adventure', 'Fantasy']",23 October 2015,USA,6.0,,
tt1921064,Pompeii,2014,PG-13,1h 45min,"['Action', 'Adventure', 'Drama']",21 February 2014,USA,5.5,,
tt0765128,Océans,2009,G,1h 24min,"['Documentary', 'Drama']",22 April 2010,USA,7.8,,
tt1397514,Journey 2: The Mysterious Island,2012,PG,1h 34min,"['Action', 'Adventure', 'Comedy']",10 February 2012,USA,5.8,,
tt0810913,Jack and Jill,2011,PG,1h 31min,['Comedy'],11 November 2011,USA,3.3,,
tt1985966,Cloudy With a Chance of Meatballs 2,2013,PG,1h 35min,"['Animation', 'Adventure', 'Comedy']",27 September 2013,USA,6.4,,
tt3766354,The Equalizer 2,2018,R,2h 1min,"['Action', 'Crime', 'Thriller']",20 July 2018,USA,6.7,,
tt1690953,Despicable Me 2,2013,PG,1h 38min,"['Animation', 'Adventure', 'Comedy']",3 July 2013,USA,7.3,,
tt2709768,The Secret Life of Pets,2016,PG,1h 27min,"['Animation', 'Adventure', 'Comedy']",8 July 2016,USA,6.5,,
tt2709692,The Grinch,2018,PG,1h 25min,"['Animation', 'Comedy', 'Family']",9 November 2018,USA,6.3,,
tt3470600,Sing,2016,PG,1h 48min,"['Animation', 'Comedy', 'Family']",21 December 2016,USA,7.1,,
tt3469046,Despicable Me 3,2017,PG,1h 29min,"['Animation', 'Adventure', 'Comedy']",30 June 2017,USA,6.3,,
tt1375670,Grown Ups,2010,PG-13,1h 42min,['Comedy'],25 June 2010,USA,5.9,,
tt1670345,Now You See Me,2013,PG-13,1h 55min,"['Crime', 'Mystery', 'Thriller']",31 May 2013,USA,7.3,,
tt4575576,Christopher Robin,2018,PG,1h 44min,"['Comedy', 'Drama', 'Family']",3 August 2018,USA,7.3,,
tt1253864,Immortals,2011,R,1h 50min,"['Action', 'Drama', 'Fantasy']",11 November 2011,USA,6.0,,
tt1103153,Killers,2010,PG-13,1h 40min,"['Action', 'Comedy', 'Romance']",4 June 2010,USA,5.5,,
tt1638355,The Man from U.N.C.L.E.,2015,PG-13,1h 56min,"['Action', 'Adventure', 'Comedy']",14 August 2015,USA,7.3,,
tt0978764,Sucker Punch,2011,PG-13,1h 50min,"['Action', 'Adventure', 'Fantasy']",25 March 2011,USA,6.0,,
tt3062096,Inferno,2016,PG-13,2h 1min,"['Action', 'Adventure', 'Crime']",28 October 2016,USA,6.2,,
tt2293640,Minions,2015,PG,1h 31min,"['Animation', 'Adventure', 'Comedy']",10 July 2015,USA,6.4,,
tt2279373,The SpongeBob Movie: Sponge Out of Water,2015,PG,1h 32min,"['Animation', 'Action', 'Adventure']",6 February 2015,USA,6.0,,
tt1985949,Angry Birds,2016,PG,1h 37min,"['Animation', 'Action', 'Adventure']",20 May 2016,USA,6.3,,
tt5164214,Ocean's 8,2018,PG-13,1h 50min,"['Action', 'Comedy', 'Crime']",8 June 2018,USA,6.2,,
tt5657846,Daddy's Home 2,2017,PG-13,1h 40min,['Comedy'],10 November 2017,USA,6.0,,
tt2302755,Olympus Has Fallen,2013,R,1h 59min,"['Action', 'Thriller']",22 March 2013,USA,6.5,,
tt1217613,Battle Los Angeles,2011,PG-13,1h 56min,"['Action', 'Sci-Fi']",11 March 2011,USA,5.7,,
tt1568911,War Horse,2011,PG-13,2h 26min,"['Action', 'Adventure', 'Drama']",25 December 2011,USA,7.2,,
tt2177771,The Monuments Men,2014,PG-13,1h 58min,"['Comedy', 'Drama', 'History']",7 February 2014,USA,6.1,,
tt4624424,Storks,2016,PG,1h 27min,"['Animation', 'Adventure', 'Comedy']",23 September 2016,USA,6.8,,
tt1496025,Underworld Awakening,2012,R,1h 28min,"['Action', 'Fantasy', 'Horror']",20 January 2012,USA,6.4,,
tt3014284,The Lego Ninjago Movie,2017,PG,1h 41min,"['Animation', 'Action', 'Adventure']",22 September 2017,USA,6.0,,
tt0829150,Dracula Untold,2014,PG-13,1h 32min,"['Action', 'Drama', 'Fantasy']",10 October 2014,USA,6.3,,
tt1027718,Wall Street: Money Never Sleeps,2010,PG-13,2h 13min,['Drama'],24 September 2010,USA,6.2,,
tt1578275,The Dilemma,2011,PG-13,1h 51min,"['Comedy', 'Drama']",14 January 2011,USA,5.3,,
tt1336608,Rock of Ages,2012,PG-13,2h 3min,"['Comedy', 'Drama', 'Musical']",15 June 2012,USA,5.9,,
tt2025690,The Finest Hours,2016,PG-13,1h 57min,"['Action', 'Drama', 'History']",29 January 2016,USA,6.8,,
tt1211956,Escape Plan,2013,R,1h 55min,"['Action', 'Thriller']",18 October 2013,USA,6.7,,
tt1448755,Killer Elite,2011,R,1h 56min,"['Action', 'Thriller']",23 September 2011,USA,6.4,,
tt1043726,The Legend of Hercules,2014,PG-13,1h 39min,"['Action', 'Adventure', 'Fantasy']",10 January 2014,USA,4.2,,
tt0884726,Legends of Oz: Dorothy's Return,2013,PG,1h 28min,"['Animation', 'Adventure', 'Family']",9 May 2014,USA,5.1,,
tt2717822,Blackhat,2015,R,2h 13min,"['Action', 'Crime', 'Thriller']",16 January 2015,USA,5.4,,
tt1186830,Agora,2009,R,2h 7min,"['Adventure', 'Biography', 'Drama']",9 October 2009,Spain,7.2,,
tt1323594,Despicable Me,2010,PG,1h 35min,"['Animation', 'Comedy', 'Family']",9 July 2010,USA,7.6,,
tt0427152,Dinner for Schmucks,2010,PG-13,1h 54min,['Comedy'],30 July 2010,USA,5.9,,
tt2873282,Red Sparrow,2018,R,2h 20min,"['Action', 'Drama', 'Thriller']",2 March 2018,USA,6.6,,
tt1325004,The Twilight Saga: Eclipse,2010,PG-13,2h 4min,"['Adventure', 'Drama', 'Fantasy']",30 June 2010,USA,5.0,,
tt2637276,Ted 2,2015,R,1h 55min,['Comedy'],26 June 2015,USA,6.3,,
tt0480687,Hall Pass,2011,R,1h 45min,"['Comedy', 'Romance']",25 February 2011,USA,5.8,,
tt1389072,Downsizing,2017,R,2h 15min,"['Drama', 'Sci-Fi']",22 December 2017,USA,5.7,,
tt3006462,Act of Valor/Project X/Dr Seuss the Lorax,,26min,News,['Episode aired 1 January 2012'],26min,News,Episode aired 1 January 2012,,
tt1611224,Abraham Lincoln: Vampire Hunter,2012,R,1h 45min,"['Action', 'Fantasy', 'Horror']",22 June 2012,USA,5.9,,
tt2369135,Need for Speed,2014,PG-13,2h 12min,"['Action', 'Crime', 'Thriller']",14 March 2014,USA,6.4,,
tt0443272,Lincoln,2012,PG-13,2h 30min,"['Biography', 'Drama', 'History']",16 November 2012,USA,7.3,,
tt5220122,Hotel Transylvania 3: Summer Vacation,2018,PG,1h 37min,"['Animation', 'Adventure', 'Comedy']",13 July 2018,USA,6.3,,
tt1707386,Les Misérables,2012,PG-13,2h 38min,"['Drama', 'History', 'Musical']",25 December 2012,USA,7.6,,
tt1809398,Unbroken,2014,PG-13,2h 17min,"['Biography', 'Drama', 'Sport']",25 December 2014,USA,7.2,,
tt1397132,Spy!,,1h,"Crime, 
Drama",['TV Series (1980– )'],1h,"Crime, 
Drama",TV Series (1980– ),,
tt1231583,Due Date,2010,R,1h 35min,"['Comedy', 'Drama']",5 November 2010,USA,6.5,,
m0004266,,,,,,,,,,
tt2788732,Pete's Dragon,2016,PG,1h 42min,"['Action', 'Adventure', 'Comedy']",12 August 2016,USA,6.7,,
tt0032553,The Great Dictator,1940,Passed,2h 5min,"['Comedy', 'Drama', 'War']",7 March 1941,USA,8.4,,
tt1596350,This Means War,2012,PG-13,1h 43min,"['Action', 'Comedy', 'Romance']",17 February 2012,USA,6.3,,
tt2381941,Focus,2015,R,1h 45min,"['Comedy', 'Crime', 'Drama']",27 February 2015,USA,6.6,,
tt0087985,Red Dawn,1984,PG-13,1h 54min,"['Action', 'Drama']",10 August 1984,USA,6.4,,
tt2719848,Everest,2015,PG-13,2h 1min,"['Action', 'Adventure', 'Biography']",25 September 2015,USA,7.1,,
tt1855325,Resident Evil: Retribution,2012,R,1h 35min,"['Action', 'Horror', 'Sci-Fi']",14 September 2012,USA,5.4,,
tt1418377,"I, Frankenstein",2014,PG-13,1h 32min,"['Action', 'Fantasy', 'Sci-Fi']",24 January 2014,USA,5.1,,
tt0458481,Frank Miller's Sin City: A Dame to Kill For,2014,R,1h 42min,"['Action', 'Crime', 'Thriller']",22 August 2014,USA,6.5,,
tt2361317,Live by Night,2016,R,2h 9min,"['Action', 'Crime', 'Drama']",13 January 2017,USA,6.4,,
tt1411704,Hop,2011,PG,1h 35min,"['Animation', 'Adventure', 'Comedy']",1 April 2011,USA,5.4,,
tt1961175,American Assassin,2017,R,1h 51min,"['Action', 'Thriller']",15 September 2017,USA,6.2,,
tt3460252,The Hateful Eight,2015,R,2h 48min,"['Crime', 'Drama', 'Mystery']",30 December 2015,USA,7.8,,
tt2267998,Gone Girl,2014,R,2h 29min,"['Drama', 'Mystery', 'Thriller']",3 October 2014,USA,8.1,,
tt4046784,Maze Runner: The Scorch Trials,2015,PG-13,2h 11min,"['Action', 'Adventure', 'Sci-Fi']",18 September 2015,USA,6.3,,
tt1272878,2 Guns,2013,R,1h 49min,"['Action', 'Comedy', 'Thriller']",2 August 2013,USA,6.7,,
tt4500922,Maze Runner: The Death Cure,2018,PG-13,2h 23min,"['Action', 'Adventure', 'Sci-Fi']",26 January 2018,USA,6.2,,
tt7616798,A Dog's Way Home,2019,PG,1h 36min,"['Adventure', 'Drama', 'Family']",11 January 2019,USA,6.7,,
tt1490017,The Lego Movie,2014,PG,1h 40min,"['Animation', 'Action', 'Adventure']",7 February 2014,USA,7.7,,
tt3263904,Sully,2016,PG-13,1h 36min,"['Biography', 'Drama']",9 September 2016,USA,7.4,,
tt1245526,RED,2010,PG-13,1h 51min,"['Action', 'Comedy', 'Crime']",15 October 2010,USA,7.0,,
tt0879870,Eat Pray Love,2010,PG-13,2h 13min,"['Biography', 'Drama', 'Romance']",13 August 2010,USA,5.8,,
tt0790724,Jack Reacher,2012,PG-13,2h 10min,"['Action', 'Thriller']",21 December 2012,USA,7.0,,
tt1598778,Contagion,2011,PG-13,1h 46min,"['Action', 'Drama', 'Thriller']",9 September 2011,USA,6.7,,
tt3300542,London Has Fallen,2016,R,1h 39min,"['Action', 'Thriller']",4 March 2016,USA,5.9,,
tt3393786,Jack Reacher: Never Go Back,2016,PG-13,1h 58min,"['Action', 'Thriller']",21 October 2016,USA,6.1,,
tt1469304,Baywatch,2017,R,1h 56min,"['Action', 'Comedy', 'Crime']",25 May 2017,USA,5.5,,
m0502342,,,,,,,,,,
tt1623288,ParaNorman,2012,PG,1h 32min,"['Animation', 'Adventure', 'Comedy']",17 August 2012,USA,7.0,,
tt0787474,The Boxtrolls,2014,PG,1h 36min,"['Animation', 'Adventure', 'Comedy']",26 September 2014,USA,6.8,,
tt1648190,The Dark Tower,2017,PG-13,1h 35min,"['Action', 'Adventure', 'Fantasy']",4 August 2017,USA,5.6,,
tt1205537,Jack Ryan: Shadow Recruit,2014,PG-13,1h 45min,"['Action', 'Drama', 'Thriller']",17 January 2014,USA,6.2,,
tt6266538,Vice,2018,R,2h 12min,"['Biography', 'Comedy', 'Drama']",25 December 2018,USA,7.2,,
tt1321870,Gangster Squad,2013,R,1h 53min,"['Action', 'Crime', 'Drama']",11 January 2013,USA,6.7,,
tt2398241,Smurfs: The Lost Village,2017,PG,1h 30min,"['Animation', 'Adventure', 'Comedy']",7 April 2017,USA,6.0,,
tt1213641,First Man,2018,PG-13,2h 21min,"['Biography', 'Drama', 'History']",12 October 2018,USA,7.3,,
tt1226273,Edge of Darkness,2010,R,1h 57min,"['Action', 'Crime', 'Drama']",29 January 2010,USA,6.6,,
tt2083383,Trouble with the Curve,2012,PG-13,1h 51min,"['Drama', 'Sport']",21 September 2012,USA,6.8,,
tt5719748,Cold Pursuit,2019,R,1h 59min,"['Action', 'Crime', 'Drama']",8 February 2019,USA,6.2,,
tt1538403,The Mortal Instruments: City of Bones,2013,PG-13,2h 10min,"['Action', 'Adventure', 'Fantasy']",21 August 2013,USA,5.9,,
tt0822847,Priest,2011,PG-13,1h 27min,"['Action', 'Horror', 'Thriller']",13 May 2011,USA,5.7,,
tt1837709,Winter's Tale,2014,PG-13,1h 58min,"['Drama', 'Fantasy', 'Mystery']",14 February 2014,USA,6.2,,
tt2822672,Rock Dog,2016,PG,1h 30min,"['Animation', 'Adventure', 'Comedy']",24 February 2017,USA,5.9,,
tt3045616,Mortdecai,2015,R,1h 47min,"['Action', 'Adventure', 'Comedy']",23 January 2015,USA,5.5,,
tt2296777,Sherlock Gnomes,2018,PG,1h 26min,"['Animation', 'Adventure', 'Comedy']",23 March 2018,USA,5.2,,
tt6811018,The Kid Who Would Be King,2019,PG,2h,"['Action', 'Adventure', 'Family']",25 January 2019,USA,6.0,,
tt1431045,Deadpool,2016,R,1h 48min,"['Action', 'Adventure', 'Comedy']",12 February 2016,USA,8.0,,
tt2179136,American Sniper,2014,R,2h 13min,"['Action', 'Biography', 'Drama']",16 January 2015,USA,7.3,,
tt1051904,Goosebumps,2015,PG,1h 43min,"['Adventure', 'Comedy', 'Family']",16 October 2015,USA,6.3,,
tt0485985,Red Tails,2012,PG-13,2h 5min,"['Action', 'Drama', 'History']",20 January 2012,USA,5.9,,
tt2234155,The Internship,2013,PG-13,1h 59min,['Comedy'],7 June 2013,USA,6.3,,
tt5442430,Life,2017,R,1h 44min,"['Horror', 'Sci-Fi', 'Thriller']",24 March 2017,USA,6.6,,
tt1220634,Resident Evil: Afterlife,2010,R,1h 36min,"['Action', 'Adventure', 'Horror']",10 September 2010,USA,5.8,,
tt1232200,That's My Boy,2012,R,1h 56min,['Comedy'],15 June 2012,USA,5.5,,
tt1071875,Ghost Rider: Spirit of Vengeance,2011,PG-13,1h 36min,"['Action', 'Fantasy', 'Thriller']",17 February 2012,USA,4.3,,
tt0083907,The Evil Dead,1981,NC-17,1h 25min,['Horror'],15 April 1983,USA,7.5,,
tt1727824,Bohemian Rhapsody,2018,PG-13,2h 14min,"['Biography', 'Drama', 'Music']",2 November 2018,USA,8.0,,
tt4465564,Fifty Shades Darker,2017,R,1h 58min,"['Drama', 'Romance']",10 February 2017,USA,4.6,,
tt1535109,Captain Phillips,2013,PG-13,2h 14min,"['Biography', 'Crime', 'Drama']",11 October 2013,USA,7.8,,
tt3402236,Murder on the Orient Express,2017,PG-13,1h 54min,"['Crime', 'Drama', 'Mystery']",10 November 2017,USA,6.5,,
tt0455944,The Equalizer,2014,R,2h 12min,"['Action', 'Crime', 'Thriller']",26 September 2014,USA,7.2,,
tt4477536,Fifty Shades Freed,2018,R,1h 45min,"['Drama', 'Romance', 'Thriller']",9 February 2018,USA,4.5,,
tt1279935,Date Night,2010,PG-13,1h 28min,"['Comedy', 'Crime', 'Romance']",9 April 2010,USA,6.3,,
tt1109624,Paddington,2014,PG,1h 35min,"['Adventure', 'Comedy', 'Family']",16 January 2015,USA,7.2,,
tt1396218,Mr. Popper's Penguins,2011,PG,1h 34min,"['Comedy', 'Family', 'Fantasy']",17 June 2011,USA,6.0,,
tt1621039,Free Birds,2013,PG,1h 31min,"['Animation', 'Adventure', 'Comedy']",1 November 2013,USA,5.8,,
tt2281587,Muppets Most Wanted,2014,PG,1h 47min,"['Adventure', 'Comedy', 'Crime']",21 March 2014,USA,6.4,,
tt4302938,Kubo and the Two Strings,2016,PG,1h 41min,"['Animation', 'Action', 'Adventure']",19 August 2016,USA,7.8,,
tt1126591,Burlesque,2010,PG-13,1h 59min,"['Drama', 'Music', 'Musical']",24 November 2010,USA,6.4,,
tt8080292,The Watch,,"Drama, 
Fantasy",TV Series (2020– ),"Drama, 
Fantasy",TV Series (2020– ),,,,
tt2798920,Annihilation,2018,R,1h 55min,"['Adventure', 'Drama', 'Horror']",23 February 2018,USA,6.8,,
tt2554274,Crimson Peak,2015,R,1h 59min,"['Drama', 'Fantasy', 'Horror']",16 October 2015,USA,6.5,,
tt1430626,The Pirates! Band of Misfits,2012,PG,1h 28min,"['Animation', 'Adventure', 'Comedy']",27 April 2012,USA,6.7,,
