,0,1,2,3,4,5,6,7,8,9
tt1399103,Transformers: Dark of the Moon,2011,PG-13,2h 34min,"['Action', 'Adventure', 'Sci-Fi']",29 June 2011,USA,6.2,,
tt0120616,The Mummy,1999,PG-13,2h 4min,"['Action', 'Adventure', 'Fantasy']",7 May 1999,USA,7.0,,
tt1351685,Jack the Giant Slayer,2013,PG-13,1h 54min,"['Adventure', 'Fantasy']",1 March 2013,USA,6.2,,
tt2820852,Furious 7,2015,PG-13,2h 17min,"['Action', 'Adventure', 'Thriller']",3 April 2015,USA,7.1,,
tt1408101,Star Trek Into Darkness,2013,PG-13,2h 12min,"['Action', 'Adventure', 'Sci-Fi']",16 May 2013,USA,7.7,,
tt0816711,World War Z,2013,PG-13,1h 56min,"['Action', 'Adventure', 'Horror']",21 June 2013,USA,7.0,,
tt1343092,The Great Gatsby,2013,PG-13,2h 23min,"['Drama', 'Romance']",10 May 2013,USA,7.2,,
tt1663662,Pacific Rim,2013,PG-13,2h 11min,"['Action', 'Adventure', 'Sci-Fi']",12 July 2013,USA,6.9,,
tt1979388,The Good Dinosaur,2015,PG,1h 33min,"['Animation', 'Adventure', 'Comedy']",25 November 2015,USA,6.7,,
tt1217209,Brave,2012,PG,1h 33min,"['Animation', 'Adventure', 'Comedy']",22 June 2012,USA,7.1,,
tt3731562,Kong: Skull Island,2017,PG-13,1h 58min,"['Action', 'Adventure', 'Fantasy']",10 March 2017,USA,6.6,,
tt2660888,Star Trek Beyond,2016,PG-13,2h 2min,"['Action', 'Adventure', 'Sci-Fi']",22 July 2016,USA,7.1,,
tt1856101,Blade Runner 2049,2017,R,2h 44min,"['Action', 'Drama', 'Mystery']",6 October 2017,USA,8.0,,
tt6139732,Aladdin,2019,PG,2h 8min,"['Adventure', 'Family', 'Fantasy']",24 May 2019,USA,7.0,,
tt3501632,Thor: Ragnarok,2017,PG-13,2h 10min,"['Action', 'Adventure', 'Comedy']",3 November 2017,USA,7.9,,
tt1587310,Maleficent,2014,PG,1h 37min,"['Action', 'Adventure', 'Family']",30 May 2014,USA,7.0,,
tt3183660,Fantastic Beasts and Where to Find Them,2016,PG-13,2h 12min,"['Adventure', 'Family', 'Fantasy']",18 November 2016,USA,7.3,,
tt0918940,The Legend of Tarzan,2016,PG-13,1h 50min,"['Action', 'Adventure', 'Drama']",1 July 2016,USA,6.2,,
tt0970179,Hugo,2011,PG,2h 6min,"['Drama', 'Family', 'Fantasy']",23 November 2011,USA,7.5,,
tt2239822,Valerian and the City of a Thousand Planets,2017,PG-13,2h 16min,"['Action', 'Adventure', 'Fantasy']",21 July 2017,USA,6.5,,
tt1617661,Jupiter Ascending,2015,PG-13,2h 7min,"['Action', 'Adventure', 'Sci-Fi']",6 February 2015,USA,5.3,,
tt4912910,Mission: Impossible - Fallout,2018,PG-13,2h 27min,"['Action', 'Adventure', 'Thriller']",27 July 2018,USA,7.7,,
tt3385516,X-Men: Apocalypse,2016,PG-13,2h 24min,"['Action', 'Adventure', 'Sci-Fi']",27 May 2016,USA,6.9,,
tt4779682,The Meg,2018,PG-13,1h 53min,"['Action', 'Horror', 'Sci-Fi']",10 August 2018,USA,5.6,,
tt1631867,Edge of Tomorrow,2014,PG-13,1h 53min,"['Action', 'Adventure', 'Sci-Fi']",6 June 2014,USA,7.9,,
tt4154664,Captain Marvel,2019,PG-13,2h 3min,"['Action', 'Adventure', 'Sci-Fi']",8 March 2019,USA,6.9,,
tt3040964,The Jungle Book,2016,PG,1h 46min,"['Adventure', 'Drama', 'Family']",15 April 2016,USA,7.4,,
tt2096673,Inside Out,2015,PG,1h 35min,"['Animation', 'Adventure', 'Comedy']",19 June 2015,USA,8.1,,
tt2250912,Spider-Man: Homecoming,2017,PG-13,2h 13min,"['Action', 'Adventure', 'Sci-Fi']",7 July 2017,USA,7.4,,
tt1386697,Suicide Squad,2016,PG-13,2h 3min,"['Action', 'Adventure', 'Fantasy']",5 August 2016,USA,6.0,,
m0001073,,,,,,,,,,
tt5848272,Ralph Breaks the Internet,2018,PG,1h 52min,"['Animation', 'Adventure', 'Comedy']",21 November 2018,USA,7.1,,
tt3606752,Cars 3,2017,G,1h 42min,"['Animation', 'Adventure', 'Comedy']",16 June 2017,USA,6.7,,
tt1972591,King Arthur: Legend of the Sword,2017,PG-13,2h 6min,"['Action', 'Adventure', 'Drama']",12 May 2017,USA,6.7,,
tt1335975,47 Ronin,2013,PG-13,2h 8min,"['Action', 'Drama', 'Fantasy']",25 December 2013,USA,6.3,,
tt4881806,Jurassic World: Fallen Kingdom,2018,PG-13,2h 8min,"['Action', 'Adventure', 'Sci-Fi']",22 June 2018,USA,6.2,,
tt2015381,Guardians of the Galaxy,2014,PG-13,2h 1min,"['Action', 'Adventure', 'Comedy']",1 August 2014,USA,8.0,,
